,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_epochs,params_learning_rate,params_max_grad_norm,state
0,0,0.015799999237060547,2023-12-13 13:40:18.222827,2023-12-13 16:12:30.255059,0 days 02:32:12.032232,256,75,1.3289448722869174e-07,9.705116551187544,COMPLETE
1,1,0.03620000183582306,2023-12-13 16:12:30.393768,2023-12-13 20:39:06.094194,0 days 04:26:35.700426,32768,167,5.6606706992588876e-06,3.790346064278179,COMPLETE
2,2,0.018200000748038292,2023-12-13 20:39:06.281200,2023-12-13 23:05:55.418209,0 days 02:26:49.137009,45000,92,0.06220025976819164,8.12229401154132,COMPLETE
3,3,0.032999999821186066,2023-12-13 23:05:55.582274,2023-12-14 00:44:46.287379,0 days 01:38:50.705105,16384,61,7.417652034871818e-06,5.296666607542546,COMPLETE
4,4,0.012600000016391277,2023-12-14 00:44:46.438395,2023-12-14 04:15:21.305527,0 days 03:30:34.867132,512,110,1.8679434894556299e-07,3.388237241479991,COMPLETE
5,5,0.7854000329971313,2023-12-14 04:15:21.498980,2023-12-14 06:20:23.601478,0 days 02:05:02.102498,45000,78,0.004300001586162603,2.14741367903489,COMPLETE
6,6,0.007799999788403511,2023-12-14 06:20:23.742211,2023-12-14 06:25:17.142001,0 days 00:04:53.399790,32768,2,9.669146694016018e-06,0.8228718328030318,COMPLETE
7,7,0.7483999729156494,2023-12-14 06:25:17.287539,2023-12-14 08:11:29.990283,0 days 01:46:12.702744,2048,63,0.0042247700890263706,5.0391968443710295,COMPLETE
8,8,0.21720001101493835,2023-12-14 08:11:30.123017,2023-12-14 10:59:45.456841,0 days 02:48:15.333824,32768,105,2.8993292583566958e-05,7.6044011577218775,COMPLETE
9,9,0.058800000697374344,2023-12-14 10:59:45.621247,2023-12-14 12:17:33.996271,0 days 01:17:48.375024,2048,46,0.02266490958666926,5.485553970773378,COMPLETE
10,10,0.7860000133514404,2023-12-14 12:17:34.138619,2023-12-14 14:17:26.060426,0 days 01:59:51.921807,45000,75,0.0025547939981068663,0.8968856276486081,COMPLETE
11,11,0.7698000073432922,2023-12-14 14:17:26.278384,2023-12-14 16:18:49.177132,0 days 02:01:22.898748,2048,72,0.0017321470593838976,4.785732942977018,COMPLETE
12,12,0.7804000377655029,2023-12-14 16:18:49.347241,2023-12-14 18:23:28.268453,0 days 02:04:38.921212,45000,77,0.002543027119131946,1.8592805180914915,COMPLETE
13,13,0.79339998960495,2023-12-14 18:23:28.430319,2023-12-14 20:26:56.805916,0 days 02:03:28.375597,45000,77,0.003791271371709737,1.1999964781555947,COMPLETE
14,14,0.7807999849319458,2023-12-14 20:26:56.940878,2023-12-14 21:47:22.731621,0 days 01:20:25.790743,45000,50,0.0036461859842953728,1.6045401548528908,COMPLETE
15,15,0.795199990272522,2023-12-14 21:47:22.880518,2023-12-14 23:40:02.187715,0 days 01:52:39.307197,45000,70,0.0033765099396661814,1.354415923064534,COMPLETE
16,16,0.7912000417709351,2023-12-14 23:40:02.437414,2023-12-15 01:37:48.272879,0 days 01:57:45.835465,45000,73,0.003352553957300676,1.2916619587137037,COMPLETE
17,17,0.7889999151229858,2023-12-15 01:37:48.446577,2023-12-15 03:32:55.778362,0 days 01:55:07.331785,45000,72,0.0033811065902444475,1.2140622463731476,COMPLETE
18,18,0.7844000458717346,2023-12-15 03:32:55.957373,2023-12-15 05:32:07.508157,0 days 01:59:11.550784,45000,74,0.0033507945330373077,1.254867970014922,COMPLETE
19,19,0.7932000160217285,2023-12-15 05:32:07.731612,2023-12-15 07:24:02.465271,0 days 01:51:54.733659,45000,70,0.0033705930567745875,1.1567662788978534,COMPLETE
