,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_epochs,params_learning_rate,params_max_grad_norm,state
0,0,0.19333332777023315,2023-12-13 13:39:53.256639,2023-12-13 13:43:50.914807,0 days 00:03:57.658168,256,75,0.01574189004745665,6.0909271150834465,COMPLETE
1,1,0.07111111283302307,2023-12-13 13:43:51.056559,2023-12-13 13:49:39.096218,0 days 00:05:48.039659,512,142,6.690421166498795e-06,5.342613029995931,COMPLETE
2,2,0.602222204208374,2023-12-13 13:49:39.240284,2023-12-13 13:54:55.053934,0 days 00:05:15.813650,512,87,0.005141096648805749,2.1568030651519257,COMPLETE
3,3,0.18222223222255707,2023-12-13 13:54:55.399313,2023-12-13 13:58:20.196431,0 days 00:03:24.797118,4500,103,0.06220025976819164,8.12229401154132,COMPLETE
4,4,0.11555555462837219,2023-12-13 13:58:20.338549,2023-12-13 14:00:55.051566,0 days 00:02:34.713017,512,61,0.02857080075040725,2.736043819680166,COMPLETE
5,5,0.20000000298023224,2023-12-13 14:00:55.223918,2023-12-13 14:05:10.146066,0 days 00:04:14.922148,4096,133,0.04335045392775135,8.96930803419096,COMPLETE
6,6,0.07555555552244186,2023-12-13 14:05:10.286895,2023-12-13 14:10:54.394847,0 days 00:05:44.107952,256,120,4.247116662617139e-06,8.321627589688907,COMPLETE
7,7,0.786666750907898,2023-12-13 14:10:54.534937,2023-12-13 14:15:42.905115,0 days 00:04:48.370178,4500,72,0.004300001586162603,2.14741367903489,COMPLETE
8,8,0.08444444835186005,2023-12-13 14:15:43.034444,2023-12-13 14:15:57.582914,0 days 00:00:14.548470,256,2,4.956947932799961e-07,8.658413573580816,COMPLETE
9,9,0.3866666555404663,2023-12-13 14:15:57.724464,2023-12-13 14:19:58.450420,0 days 00:04:00.725956,4096,125,0.021051180519608702,4.827706266587104,COMPLETE
10,10,0.8066666722297668,2023-12-13 14:19:58.588112,2023-12-13 14:22:16.119165,0 days 00:02:17.531053,4500,67,0.002658968733983669,1.0014886916651684,COMPLETE
11,11,0.800000011920929,2023-12-13 14:22:16.261484,2023-12-13 14:24:42.097789,0 days 00:02:25.836305,4500,71,0.002536294391461728,1.5169263225047245,COMPLETE
12,12,0.7555555701255798,2023-12-13 14:24:42.231041,2023-12-13 14:26:46.326844,0 days 00:02:04.095803,4500,60,0.0012530809271347496,2.407054156999322,COMPLETE
13,13,0.7933333516120911,2023-12-13 14:26:46.477150,2023-12-13 14:29:04.990155,0 days 00:02:18.513005,4500,67,0.00395037652738349,1.339992297262786,COMPLETE
14,14,0.7488889098167419,2023-12-13 14:29:05.123351,2023-12-13 14:31:25.552359,0 days 00:02:20.429008,4500,68,0.0013440845756141641,0.9369461100362475,COMPLETE
15,15,0.7999999523162842,2023-12-13 14:31:25.683743,2023-12-13 14:33:18.894494,0 days 00:01:53.210751,4500,54,0.0027443866308593905,1.860836962018437,COMPLETE
16,16,0.8000000715255737,2023-12-13 14:33:19.026944,2023-12-13 14:35:29.085806,0 days 00:02:10.058862,4500,63,0.002773442738307142,1.579350584223455,COMPLETE
17,17,0.7977777719497681,2023-12-13 14:35:29.219167,2023-12-13 14:37:39.794819,0 days 00:02:10.575652,4500,63,0.0028507458973778444,1.2581967652522816,COMPLETE
18,18,0.8044444918632507,2023-12-13 14:37:39.931614,2023-12-13 14:39:58.031339,0 days 00:02:18.099725,4500,67,0.0028828402013906435,1.3936143478786769,COMPLETE
19,19,0.8177777528762817,2023-12-13 14:39:58.166767,2023-12-13 14:42:22.342674,0 days 00:02:24.175907,4500,70,0.0029115758629839083,1.2432047376499595,COMPLETE
