,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_epochs,params_learning_rate,params_max_grad_norm,state
0,0,0.008799999952316284,2023-12-13 13:39:48.295461,2023-12-13 15:44:50.171535,0 days 02:05:01.876074,256,75,1.3289448722869174e-07,9.705116551187544,COMPLETE
1,1,0.022199999541044235,2023-12-13 15:44:50.331619,2023-12-13 19:25:51.271058,0 days 03:41:00.939439,32768,167,5.6606706992588876e-06,3.790346064278179,COMPLETE
2,2,0.7950000166893005,2023-12-13 19:25:51.460224,2023-12-13 21:27:13.650412,0 days 02:01:22.190188,45000,92,0.06220025976819164,8.12229401154132,COMPLETE
3,3,0.01759999990463257,2023-12-13 21:27:13.797566,2023-12-13 22:49:08.235623,0 days 01:21:54.438057,16384,61,7.417652034871818e-06,5.296666607542546,COMPLETE
4,4,0.01860000006854534,2023-12-13 22:49:08.389038,2023-12-14 01:42:04.107923,0 days 02:52:55.718885,512,110,1.8679434894556299e-07,3.388237241479991,COMPLETE
5,5,0.9041999578475952,2023-12-14 01:42:04.267078,2023-12-14 03:25:43.202611,0 days 01:43:38.935533,45000,78,0.004300001586162603,2.14741367903489,COMPLETE
6,6,0.015399999916553497,2023-12-14 03:25:43.387146,2023-12-14 03:30:03.821434,0 days 00:04:20.434288,32768,2,9.669146694016018e-06,0.8228718328030318,COMPLETE
7,7,0.878600001335144,2023-12-14 03:30:03.956929,2023-12-14 04:58:18.821740,0 days 01:28:14.864811,2048,63,0.0042247700890263706,5.0391968443710295,COMPLETE
8,8,0.09700000286102295,2023-12-14 04:58:18.969882,2023-12-14 07:17:57.415324,0 days 02:19:38.445442,32768,105,2.8993292583566958e-05,7.6044011577218775,COMPLETE
9,9,0.7246000170707703,2023-12-14 07:17:57.551240,2023-12-14 08:22:56.987981,0 days 01:04:59.436741,2048,46,0.02266490958666926,5.485553970773378,COMPLETE
10,10,0.8932000398635864,2023-12-14 08:22:57.143381,2023-12-14 10:15:13.695781,0 days 01:52:16.552400,45000,84,0.013539137355060508,4.544395870261233,COMPLETE
11,11,0.8986000418663025,2023-12-14 10:15:13.861813,2023-12-14 11:47:22.029846,0 days 01:32:08.168033,45000,69,0.0012903614161565973,4.652372956479081,COMPLETE
12,12,0.8991999626159668,2023-12-14 11:47:22.211955,2023-12-14 13:55:14.765366,0 days 02:07:52.553411,2048,92,0.0003003608769371842,4.252738771513131,COMPLETE
13,13,0.9079999923706055,2023-12-14 13:55:14.948261,2023-12-14 15:38:44.716872,0 days 01:43:29.768611,45000,78,0.0032555477187253567,3.626764486568773,COMPLETE
14,14,0.9018000364303589,2023-12-14 15:38:44.867065,2023-12-14 16:47:42.586820,0 days 01:08:57.719755,45000,52,0.00818168387971984,3.4534095478904603,COMPLETE
15,15,0.8754000067710876,2023-12-14 16:47:42.738911,2023-12-14 18:00:54.738042,0 days 01:13:11.999131,2048,52,0.00017456402356303004,5.825358486377367,COMPLETE
16,16,0.9062000513076782,2023-12-14 18:00:54.886713,2023-12-14 19:32:28.791316,0 days 01:31:33.904603,45000,69,0.004047156894663308,3.451055482146616,COMPLETE
17,17,0.9077999591827393,2023-12-14 19:32:28.946097,2023-12-14 21:09:33.035576,0 days 01:37:04.089479,45000,73,0.003951237356984031,3.4139780602893213,COMPLETE
18,18,0.9065999388694763,2023-12-14 21:09:33.216837,2023-12-14 22:46:09.249573,0 days 01:36:36.032736,45000,73,0.003947384004973439,3.413002744285273,COMPLETE
19,19,0.9043999910354614,2023-12-14 22:46:09.406584,2023-12-15 00:24:15.443203,0 days 01:38:06.036619,45000,74,0.003916283493174991,3.3959307621114245,COMPLETE
