,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_epochs,params_learning_rate,params_max_grad_norm,state
0,0,0.008799999952316284,2023-12-13 14:27:00.279945,2023-12-13 16:42:27.097485,0 days 02:15:26.817540,256,75,1.3289448722869174e-07,9.705116551187544,COMPLETE
1,1,0.01860000006854534,2023-12-13 16:42:27.237112,2023-12-13 20:47:27.038861,0 days 04:04:59.801749,32768,167,5.6606706992588876e-06,3.790346064278179,COMPLETE
2,2,0.009999999776482582,2023-12-13 20:47:27.192583,2023-12-13 23:01:56.782597,0 days 02:14:29.590014,45000,92,0.06220025976819164,8.12229401154132,COMPLETE
3,3,0.02159999869763851,2023-12-13 23:01:56.917768,2023-12-14 00:33:04.862846,0 days 01:31:07.945078,16384,61,7.417652034871818e-06,5.296666607542546,COMPLETE
4,4,0.00839999970048666,2023-12-14 00:33:04.998741,2023-12-14 03:41:43.070083,0 days 03:08:38.071342,512,110,1.8679434894556299e-07,3.388237241479991,COMPLETE
5,5,0.8908000588417053,2023-12-14 03:41:43.237550,2023-12-14 05:36:58.135128,0 days 01:55:14.897578,45000,78,0.004300001586162603,2.14741367903489,COMPLETE
6,6,0.011599999852478504,2023-12-14 05:36:58.277282,2023-12-14 05:41:36.422712,0 days 00:04:38.145430,32768,2,9.669146694016018e-06,0.8228718328030318,COMPLETE
7,7,0.03680000454187393,2023-12-14 05:41:36.592913,2023-12-14 07:18:51.476195,0 days 01:37:14.883282,2048,63,0.0042247700890263706,5.0391968443710295,COMPLETE
8,8,0.07639999687671661,2023-12-14 07:18:51.632912,2023-12-14 09:57:28.469623,0 days 02:38:36.836711,32768,105,2.8993292583566958e-05,7.6044011577218775,COMPLETE
9,9,0.027799999341368675,2023-12-14 09:57:28.616861,2023-12-14 11:08:50.477123,0 days 01:11:21.860262,2048,46,0.02266490958666926,5.485553970773378,COMPLETE
10,10,0.9145999550819397,2023-12-14 11:08:50.681036,2023-12-14 13:01:57.409987,0 days 01:53:06.728951,45000,76,0.002991993366961213,1.2214843265663338,COMPLETE
11,11,0.8959999084472656,2023-12-14 13:01:57.585233,2023-12-14 14:45:32.937447,0 days 01:43:35.352214,45000,70,0.0006019840069439357,1.7091481066649348,COMPLETE
12,12,0.9133999943733215,2023-12-14 14:45:33.077106,2023-12-14 16:31:39.636709,0 days 01:46:06.559603,45000,71,0.0024822625830895726,1.4550608208897937,COMPLETE
13,13,0.9169999957084656,2023-12-14 16:31:39.790788,2023-12-14 18:31:46.135840,0 days 02:00:06.345052,45000,82,0.0020285603633980317,1.4254632225346595,COMPLETE
14,14,0.9138000011444092,2023-12-14 18:31:46.329278,2023-12-14 20:29:09.135307,0 days 01:57:22.806029,45000,80,0.002253078928393315,1.3882312957565126,COMPLETE
15,15,0.9146000146865845,2023-12-14 20:29:09.269242,2023-12-14 22:25:17.582556,0 days 01:56:08.313314,45000,79,0.002328601250429665,1.3766680732939929,COMPLETE
16,16,0.9185999631881714,2023-12-14 22:25:17.732921,2023-12-15 00:21:52.181845,0 days 01:56:34.448924,45000,79,0.002336605925071076,1.3762014755541372,COMPLETE
17,17,0.9142000079154968,2023-12-15 00:21:52.345167,2023-12-15 02:18:19.723907,0 days 01:56:27.378740,45000,79,0.0023037263639615036,1.3774622923007773,COMPLETE
18,18,0.908799946308136,2023-12-15 02:18:19.921742,2023-12-15 04:14:45.623272,0 days 01:56:25.701530,45000,79,0.002362994906340963,1.3757053407384152,COMPLETE
19,19,0.9163999557495117,2023-12-15 04:14:45.823449,2023-12-15 06:09:57.544024,0 days 01:55:11.720575,45000,78,0.0023263192013691474,1.3646680002958238,COMPLETE
