,number,value,datetime_start,datetime_complete,duration,params_epochs,params_learning_rate,params_max_grad_norm,state
0,0,0.29777777194976807,2023-12-19 17:03:27.696842,2023-12-19 17:06:24.544303,0 days 00:02:56.847461,75,0.0506157688875231,7.373540629751771,COMPLETE
1,1,0.06666666269302368,2023-12-19 17:06:24.702585,2023-12-19 17:10:23.796385,0 days 00:03:59.093800,120,8.632008168602531e-07,1.728746299294786,COMPLETE
2,2,0.6933333873748779,2023-12-19 17:10:23.927438,2023-12-19 17:10:57.050548,0 days 00:00:33.123110,12,0.01574189004745665,6.0909271150834465,COMPLETE
3,3,0.12666666507720947,2023-12-19 17:10:57.181695,2023-12-19 17:15:36.858568,0 days 00:04:39.676873,142,1.3289448722869174e-07,9.705116551187544,COMPLETE
4,4,0.10222221910953522,2023-12-19 17:15:37.004061,2023-12-19 17:21:05.027859,0 days 00:05:28.023798,167,1.8794668241638449e-06,1.981884678629586,COMPLETE
5,5,0.07555556297302246,2023-12-19 17:21:05.160422,2023-12-19 17:22:25.222958,0 days 00:01:20.062536,37,6.690421166498795e-06,5.342613029995931,COMPLETE
6,6,0.06666667014360428,2023-12-19 17:22:25.355213,2023-12-19 17:25:20.273520,0 days 00:02:54.918307,87,5.589524205217927e-06,6.1961583682793195,COMPLETE
7,7,0.09111110866069794,2023-12-19 17:25:20.404302,2023-12-19 17:26:22.803074,0 days 00:01:02.398772,28,5.6606706992588876e-06,3.790346064278179,COMPLETE
8,8,0.7622222304344177,2023-12-19 17:26:22.956600,2023-12-19 17:29:27.701804,0 days 00:03:04.745204,92,0.005141096648805749,2.1568030651519257,COMPLETE
9,9,0.4777778089046478,2023-12-19 17:29:27.832741,2023-12-19 17:32:53.789305,0 days 00:03:25.956564,103,0.00035849855803404753,0.6552140446559778,COMPLETE
10,10,0.7488889098167419,2023-12-19 17:32:53.959765,2023-12-19 17:33:43.771570,0 days 00:00:49.811805,21,0.00660474118426903,2.9615328265844747,COMPLETE
11,11,0.7177778482437134,2023-12-19 17:33:43.900640,2023-12-19 17:35:59.185416,0 days 00:02:15.284776,66,0.009736868632096796,0.5197147208240247,COMPLETE
12,12,0.7933333516120911,2023-12-19 17:35:59.335343,2023-12-19 17:37:40.626244,0 days 00:01:41.290901,48,0.0038668241271743145,4.595818663887889,COMPLETE
13,13,0.17333334684371948,2023-12-19 17:37:40.789400,2023-12-19 17:37:52.224659,0 days 00:00:11.435259,1,0.003528718524171033,6.708597494213704,COMPLETE
14,14,0.6111111044883728,2023-12-19 17:37:52.354144,2023-12-19 17:39:44.458680,0 days 00:01:52.104536,54,0.017297150740242233,3.287280801957537,COMPLETE
15,15,0.795555591583252,2023-12-19 17:39:44.615567,2023-12-19 17:41:35.083031,0 days 00:01:50.467464,53,0.003379009606763636,2.3458472000960757,COMPLETE
16,16,0.7888889312744141,2023-12-19 17:41:35.220816,2023-12-19 17:43:39.002070,0 days 00:02:03.781254,60,0.005101121209333744,3.1757588439063844,COMPLETE
17,17,0.7866666316986084,2023-12-19 17:43:39.133969,2023-12-19 17:46:13.358548,0 days 00:02:34.224579,76,0.0024537886549689607,3.875636658530901,COMPLETE
18,18,0.800000011920929,2023-12-19 17:46:13.517116,2023-12-19 17:47:54.641471,0 days 00:01:41.124355,48,0.0030851163727020716,0.951273813824359,COMPLETE
19,19,0.81333327293396,2023-12-19 17:47:54.772002,2023-12-19 17:50:30.810011,0 days 00:02:36.038009,77,0.002936670438881703,0.2,COMPLETE
