,number,value,datetime_start,datetime_complete,duration,params_epochs,params_learning_rate,params_max_grad_norm,state
0,0,0.41333335638046265,2023-12-19 17:03:28.711241,2023-12-19 17:09:07.483437,0 days 00:05:38.772196,75,0.0506157688875231,7.373540629751771,COMPLETE
1,1,0.09555555880069733,2023-12-19 17:09:07.641710,2023-12-19 17:17:17.318876,0 days 00:08:09.677166,120,8.632008168602531e-07,1.728746299294786,COMPLETE
2,2,0.8066667318344116,2023-12-19 17:17:17.451620,2023-12-19 17:18:15.131524,0 days 00:00:57.679904,12,0.01574189004745665,6.0909271150834465,COMPLETE
3,3,0.03999999910593033,2023-12-19 17:18:15.260747,2023-12-19 17:27:54.812108,0 days 00:09:39.551361,142,1.3289448722869174e-07,9.705116551187544,COMPLETE
4,4,0.13333334028720856,2023-12-19 17:27:54.979430,2023-12-19 17:39:13.266686,0 days 00:11:18.287256,167,1.8794668241638449e-06,1.981884678629586,COMPLETE
5,5,0.13333332538604736,2023-12-19 17:39:13.400671,2023-12-19 17:41:51.570822,0 days 00:02:38.170151,37,6.690421166498795e-06,5.342613029995931,COMPLETE
6,6,0.09777778387069702,2023-12-19 17:41:51.719414,2023-12-19 17:47:49.507546,0 days 00:05:57.788132,87,5.589524205217927e-06,6.1961583682793195,COMPLETE
7,7,0.1133333370089531,2023-12-19 17:47:49.675659,2023-12-19 17:49:52.190093,0 days 00:02:02.514434,28,5.6606706992588876e-06,3.790346064278179,COMPLETE
8,8,0.9355555772781372,2023-12-19 17:49:52.358309,2023-12-19 17:56:10.546098,0 days 00:06:18.187789,92,0.005141096648805749,2.1568030651519257,COMPLETE
9,9,0.9044444561004639,2023-12-19 17:56:10.687558,2023-12-19 18:03:13.397082,0 days 00:07:02.709524,103,0.00035849855803404753,0.6552140446559778,COMPLETE
10,10,0.9288889169692993,2023-12-19 18:03:13.554969,2023-12-19 18:05:48.423019,0 days 00:02:34.868050,36,0.0022590791810261548,1.618557981395143,COMPLETE
11,11,0.9288887977600098,2023-12-19 18:05:48.589406,2023-12-19 18:12:48.617199,0 days 00:07:00.027793,102,0.0018155568452983457,0.2,COMPLETE
12,12,0.9355555772781372,2023-12-19 18:12:48.746468,2023-12-19 18:18:39.065630,0 days 00:05:50.319162,85,0.0014434273815991559,2.676615433226351,COMPLETE
13,13,0.2844444513320923,2023-12-19 18:18:39.216989,2023-12-19 18:18:53.282847,0 days 00:00:14.065858,1,0.009344164102934123,3.066418754693176,COMPLETE
14,14,0.9222221970558167,2023-12-19 18:18:53.420295,2023-12-19 18:23:52.543535,0 days 00:04:59.123240,72,0.001418265588082325,1.2600347851319968,COMPLETE
15,15,0.9288889169692993,2023-12-19 18:23:52.677841,2023-12-19 18:30:23.328505,0 days 00:06:30.650664,95,0.0017073418076229792,1.501324914967478,COMPLETE
16,16,0.9222221970558167,2023-12-19 18:30:23.493020,2023-12-19 18:33:33.903095,0 days 00:03:10.410075,45,0.0010628502972666518,0.2,COMPLETE
17,17,0.9333333373069763,2023-12-19 18:33:34.055954,2023-12-19 18:43:41.514306,0 days 00:10:07.458352,149,0.0025027022042587097,1.6532171457228277,COMPLETE
18,18,0.9377777576446533,2023-12-19 18:43:41.645898,2023-12-19 18:48:37.368774,0 days 00:04:55.722876,71,0.0035978607056167274,6.422907946819707,COMPLETE
19,19,0.9177778363227844,2023-12-19 18:48:37.527485,2023-12-19 18:56:28.100387,0 days 00:07:50.572902,115,0.0034747844999777826,3.9084713628979615,COMPLETE
