,number,value,datetime_start,datetime_complete,duration,params_epochs,params_learning_rate,params_max_grad_norm,state
0,0,0.010999999940395355,2023-12-19 16:53:51.301066,2023-12-19 17:04:42.228226,0 days 00:10:50.927160,75,0.0506157688875231,7.373540629751771,COMPLETE
1,1,0.012500000186264515,2023-12-19 17:04:42.362909,2023-12-19 17:21:17.961430,0 days 00:16:35.598521,120,8.632008168602531e-07,1.728746299294786,COMPLETE
2,2,0.3330000042915344,2023-12-19 17:21:18.126724,2023-12-19 17:23:15.697960,0 days 00:01:57.571236,12,0.01574189004745665,6.0909271150834465,COMPLETE
3,3,0.006500000134110451,2023-12-19 17:23:15.856474,2023-12-19 17:42:53.025364,0 days 00:19:37.168890,142,1.3289448722869174e-07,9.705116551187544,COMPLETE
4,4,0.008999999612569809,2023-12-19 17:42:53.160572,2023-12-19 18:05:51.482561,0 days 00:22:58.321989,167,1.8794668241638449e-06,1.981884678629586,COMPLETE
5,5,0.02550000138580799,2023-12-19 18:05:51.618401,2023-12-19 18:11:18.189117,0 days 00:05:26.570716,37,6.690421166498795e-06,5.342613029995931,COMPLETE
6,6,0.004999999888241291,2023-12-19 18:11:18.324975,2023-12-19 18:23:26.577130,0 days 00:12:08.252155,87,5.589524205217927e-06,6.1961583682793195,COMPLETE
7,7,0.01850000023841858,2023-12-19 18:23:26.783937,2023-12-19 18:27:36.285112,0 days 00:04:09.501175,28,5.6606706992588876e-06,3.790346064278179,COMPLETE
8,8,0.47749999165534973,2023-12-19 18:27:36.424886,2023-12-19 18:40:28.158263,0 days 00:12:51.733377,92,0.005141096648805749,2.1568030651519257,COMPLETE
9,9,0.04700000211596489,2023-12-19 18:40:28.334716,2023-12-19 18:54:46.726754,0 days 00:14:18.392038,103,0.00035849855803404753,0.6552140446559778,COMPLETE
10,10,0.4684999883174896,2023-12-19 18:54:46.904896,2023-12-19 19:03:17.374855,0 days 00:08:30.469959,60,0.008863618657908816,2.8479492618213476,COMPLETE
11,11,0.3785000145435333,2023-12-19 19:03:17.518534,2023-12-19 19:09:26.758918,0 days 00:06:09.240384,43,0.004727885478527813,3.3410324451993194,COMPLETE
12,12,0.46050000190734863,2023-12-19 19:09:26.986416,2023-12-19 19:22:39.264281,0 days 00:13:12.277865,94,0.0085827301419224,1.1990965632503745,COMPLETE
13,13,0.47600001096725464,2023-12-19 19:22:39.445070,2023-12-19 19:37:06.663112,0 days 00:14:27.218042,104,0.007238400389981385,3.1728395223204395,COMPLETE
14,14,0.492499977350235,2023-12-19 19:37:06.806842,2023-12-19 19:49:38.699744,0 days 00:12:31.892902,90,0.00684065966039756,2.4035093000455157,COMPLETE
15,15,0.4659999907016754,2023-12-19 19:49:38.880927,2023-12-19 20:09:06.397593,0 days 00:19:27.516666,141,0.005163225499543119,1.4360671787178174,COMPLETE
16,16,0.48249998688697815,2023-12-19 20:09:06.544308,2023-12-19 20:35:52.579381,0 days 00:26:46.035073,195,0.0037776983429471415,3.819756193391574,COMPLETE
17,17,0.5540000200271606,2023-12-19 20:35:52.717741,2023-12-19 21:03:25.172976,0 days 00:27:32.455235,200,0.005743125819649305,3.608652203309,COMPLETE
18,18,0.5149999856948853,2023-12-19 21:03:25.325620,2023-12-19 21:31:01.250691,0 days 00:27:35.925071,200,0.008009492015263771,3.1027848450920037,COMPLETE
19,19,0.5410000085830688,2023-12-19 21:31:01.400271,2023-12-19 21:58:21.671306,0 days 00:27:20.271035,200,0.0064959259686852575,4.97948360752914,COMPLETE
