,number,value,datetime_start,datetime_complete,duration,params_epochs,params_learning_rate,params_max_grad_norm,state
0,0,0.009999999776482582,2023-12-19 17:03:27.709410,2023-12-19 17:15:28.252588,0 days 00:12:00.543178,75,0.0506157688875231,7.373540629751771,COMPLETE
1,1,0.006500000134110451,2023-12-19 17:15:28.412413,2023-12-19 17:34:01.528641,0 days 00:18:33.116228,120,8.632008168602531e-07,1.728746299294786,COMPLETE
2,2,0.010999999940395355,2023-12-19 17:34:01.676543,2023-12-19 17:36:11.785838,0 days 00:02:10.109295,12,0.01574189004745665,6.0909271150834465,COMPLETE
3,3,0.014000000432133675,2023-12-19 17:36:11.979286,2023-12-19 17:58:04.418978,0 days 00:21:52.439692,142,1.3289448722869174e-07,9.705116551187544,COMPLETE
4,4,0.007499999832361937,2023-12-19 17:58:04.571666,2023-12-19 18:23:39.224082,0 days 00:25:34.652416,167,1.8794668241638449e-06,1.981884678629586,COMPLETE
5,5,0.010999999940395355,2023-12-19 18:23:39.377810,2023-12-19 18:29:42.322359,0 days 00:06:02.944549,37,6.690421166498795e-06,5.342613029995931,COMPLETE
6,6,0.018000001087784767,2023-12-19 18:29:42.456809,2023-12-19 18:43:14.231956,0 days 00:13:31.775147,87,5.589524205217927e-06,6.1961583682793195,COMPLETE
7,7,0.008999999612569809,2023-12-19 18:43:14.417595,2023-12-19 18:47:53.880666,0 days 00:04:39.463071,28,5.6606706992588876e-06,3.790346064278179,COMPLETE
8,8,0.11500000208616257,2023-12-19 18:47:54.085564,2023-12-19 19:02:17.872467,0 days 00:14:23.786903,92,0.005141096648805749,2.1568030651519257,COMPLETE
9,9,0.038499996066093445,2023-12-19 19:02:18.055009,2023-12-19 19:18:21.338580,0 days 00:16:03.283571,103,0.00035849855803404753,0.6552140446559778,COMPLETE
10,10,0.009999999776482582,2023-12-19 19:18:21.553676,2023-12-19 19:34:34.300422,0 days 00:16:12.746746,104,0.012941629619774018,1.7477724337960567,COMPLETE
11,11,0.01899999938905239,2023-12-19 19:34:34.492299,2023-12-19 20:02:59.379278,0 days 00:28:24.886979,186,0.007254447202034453,3.9498980314532823,COMPLETE
12,12,0.06599999964237213,2023-12-19 20:02:59.512080,2023-12-19 20:07:07.573506,0 days 00:04:08.061426,25,0.009198143973848466,0.2,COMPLETE
13,13,0.01249999925494194,2023-12-19 20:07:07.728784,2023-12-19 20:07:38.766961,0 days 00:00:31.038177,1,0.09999999999999999,0.2,COMPLETE
14,14,0.013000000268220901,2023-12-19 20:07:38.917760,2023-12-19 20:08:45.388980,0 days 00:01:06.471220,5,0.00037512172214350246,0.2,COMPLETE
15,15,0.011499999091029167,2023-12-19 20:08:45.521985,2023-12-19 20:39:07.219626,0 days 00:30:21.697641,200,0.09999999999999999,0.2,COMPLETE
16,16,0.08650000393390656,2023-12-19 20:39:07.384744,2023-12-19 21:09:53.039600,0 days 00:30:45.654856,200,0.00048704178745727274,9.999999999999998,COMPLETE
17,17,0.012000000104308128,2023-12-19 21:09:53.263589,2023-12-19 21:40:39.279045,0 days 00:30:46.015456,200,0.006542979620875078,9.999999999999998,COMPLETE
18,18,0.017000000923871994,2023-12-19 21:40:39.443630,2023-12-19 22:11:24.169934,0 days 00:30:44.726304,200,4.077810777363619e-05,9.999999999999998,COMPLETE
19,19,0.014000000432133675,2023-12-19 22:11:24.311720,2023-12-19 22:11:54.896756,0 days 00:00:30.585036,1,0.00044184415211997183,9.999999999999998,COMPLETE
