,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_epochs,params_learning_rate,params_max_grad_norm,state
0,0,0.010999999940395355,2023-12-14 15:12:52.059205,2023-12-14 15:29:07.676067,0 days 00:16:15.616862,256,75,0.01574189004745665,6.0909271150834465,COMPLETE
1,1,0.025499999523162842,2023-12-14 15:29:07.825431,2023-12-14 15:56:25.089249,0 days 00:27:17.263818,512,142,6.690421166498795e-06,5.342613029995931,COMPLETE
2,2,0.590999960899353,2023-12-14 15:56:25.251622,2023-12-14 16:13:19.096482,0 days 00:16:53.844860,512,87,0.005141096648805749,2.1568030651519257,COMPLETE
3,3,0.006000000052154064,2023-12-14 16:13:19.227939,2023-12-14 16:30:30.942793,0 days 00:17:11.714854,4500,103,0.06220025976819164,8.12229401154132,COMPLETE
4,4,0.007000000216066837,2023-12-14 16:30:31.147068,2023-12-14 16:42:25.556722,0 days 00:11:54.409654,512,61,0.02857080075040725,2.736043819680166,COMPLETE
5,5,0.01549999974668026,2023-12-14 16:42:25.688569,2023-12-14 17:04:06.589834,0 days 00:21:40.901265,4096,133,0.04335045392775135,8.96930803419096,COMPLETE
6,6,0.0024999999441206455,2023-12-14 17:04:06.728663,2023-12-14 17:29:34.617467,0 days 00:25:27.888804,256,120,4.247116662617139e-06,8.321627589688907,COMPLETE
7,7,0.6734999418258667,2023-12-14 17:29:34.774430,2023-12-14 17:41:43.127975,0 days 00:12:08.353545,4500,72,0.004300001586162603,2.14741367903489,COMPLETE
8,8,0.004000000189989805,2023-12-14 17:41:43.259289,2023-12-14 17:42:26.013231,0 days 00:00:42.753942,256,2,4.956947932799961e-07,8.658413573580816,COMPLETE
9,9,0.5410000085830688,2023-12-14 17:42:26.200373,2023-12-14 18:02:43.501270,0 days 00:20:17.300897,4096,125,0.021051180519608702,4.827706266587104,COMPLETE
10,10,0.6740000247955322,2023-12-14 18:02:43.632691,2023-12-14 18:14:03.711652,0 days 00:11:20.078961,4500,67,0.0025604401143336573,0.9427065597990569,COMPLETE
11,11,0.6985000371932983,2023-12-14 18:14:03.882856,2023-12-14 18:26:20.750803,0 days 00:12:16.867947,4500,73,0.0025538495343984833,1.4282155137319335,COMPLETE
12,12,0.6634999513626099,2023-12-14 18:26:20.950741,2023-12-14 18:39:14.238604,0 days 00:12:53.287863,4500,77,0.002547500402974998,1.689159531763426,COMPLETE
13,13,0.44449999928474426,2023-12-14 18:39:14.389637,2023-12-14 18:50:01.948877,0 days 00:10:47.559240,4500,64,0.0006400392530386879,2.1631874081668907,COMPLETE
14,14,0.6769999861717224,2023-12-14 18:50:02.080559,2023-12-14 19:01:45.724071,0 days 00:11:43.643512,4500,69,0.0045967206123308,1.290203696010625,COMPLETE
15,15,0.6359999775886536,2023-12-14 19:01:45.887949,2023-12-14 19:22:22.435107,0 days 00:20:36.547158,512,107,0.001570451068564337,1.5649023830765167,COMPLETE
16,16,0.6794999837875366,2023-12-14 19:22:22.585442,2023-12-14 19:33:37.796050,0 days 00:11:15.210608,4500,66,0.0034914143167869382,1.5135113259999846,COMPLETE
17,17,0.6704999804496765,2023-12-14 19:33:37.925995,2023-12-14 19:46:21.293067,0 days 00:12:43.367072,4500,76,0.0036335159734545313,1.2571004924417535,COMPLETE
18,18,0.6295000314712524,2023-12-14 19:46:21.449399,2023-12-14 20:05:07.178086,0 days 00:18:45.728687,512,97,0.0022949213092121577,1.3632388425149347,COMPLETE
19,19,0.6850000023841858,2023-12-14 20:05:07.350312,2023-12-14 20:16:22.533125,0 days 00:11:15.182813,4500,66,0.003569666452500894,1.468507855761193,COMPLETE
20,20,0.5674999952316284,2023-12-14 20:16:22.676523,2023-12-14 20:37:17.082784,0 days 00:20:54.406261,512,108,0.004744972261955769,3.1199942706800767,COMPLETE
21,21,0.6794999837875366,2023-12-14 20:37:17.237717,2023-12-14 20:49:14.377027,0 days 00:11:57.139310,4500,71,0.003086104298619935,1.471020344879305,COMPLETE
22,22,0.6775000095367432,2023-12-14 20:49:14.564191,2023-12-14 20:59:56.116848,0 days 00:10:41.552657,4500,63,0.0037165103852699268,1.504807717013054,COMPLETE
23,23,0.6729999780654907,2023-12-14 20:59:56.303911,2023-12-14 21:11:21.478138,0 days 00:11:25.174227,4500,67,0.0037445868774055933,1.4927424887347052,COMPLETE
24,24,0.6805000305175781,2023-12-14 21:11:21.633209,2023-12-14 21:22:39.007418,0 days 00:11:17.374209,4500,67,0.003830548193707788,1.505620065603184,COMPLETE
25,25,0.6625000238418579,2023-12-14 21:22:39.163117,2023-12-14 21:33:55.539963,0 days 00:11:16.376846,4500,67,0.004047467362252351,1.5575107777629784,COMPLETE
26,26,0.6899999380111694,2023-12-14 21:33:55.709421,2023-12-14 21:45:15.619672,0 days 00:11:19.910251,4500,67,0.003618544719224949,1.4582164181286408,COMPLETE
27,27,0.6625000238418579,2023-12-14 21:45:15.794166,2023-12-14 21:56:38.055993,0 days 00:11:22.261827,4500,67,0.0035573534039124795,1.4580396195123926,COMPLETE
28,28,0.6855000257492065,2023-12-14 21:56:38.220910,2023-12-14 22:08:07.364098,0 days 00:11:29.143188,4500,68,0.003588751570414546,1.4203919167542256,COMPLETE
29,29,0.6895000338554382,2023-12-14 22:08:07.497044,2023-12-14 22:19:44.379710,0 days 00:11:36.882666,4500,69,0.003585582997396236,1.4225074085521994,COMPLETE
30,30,0.6754999756813049,2023-12-14 22:19:44.528101,2023-12-14 22:31:33.252474,0 days 00:11:48.724373,4500,70,0.0035596899570962946,1.4147999244939853,COMPLETE
31,31,0.6740000247955322,2023-12-14 22:31:33.416370,2023-12-14 22:43:13.024462,0 days 00:11:39.608092,4500,69,0.0035944755361083307,1.4299971433705565,COMPLETE
32,32,0.6674999594688416,2023-12-14 22:43:13.171423,2023-12-14 22:54:45.329708,0 days 00:11:32.158285,4500,68,0.0036335503800048563,1.4431973807692828,COMPLETE
33,33,0.6775000095367432,2023-12-14 22:54:45.485024,2023-12-14 23:06:13.924409,0 days 00:11:28.439385,4500,68,0.003660168208543411,1.4447120560413589,COMPLETE
34,34,0.6814999580383301,2023-12-14 23:06:14.085393,2023-12-14 23:17:38.911043,0 days 00:11:24.825650,4500,68,0.0036974717348933098,1.4586082185453257,COMPLETE
35,35,0.6899999976158142,2023-12-14 23:17:39.085211,2023-12-14 23:29:05.675762,0 days 00:11:26.590551,4500,68,0.0037199992554751565,1.467636748202471,COMPLETE
36,36,0.6744999885559082,2023-12-14 23:29:05.835112,2023-12-14 23:40:34.997851,0 days 00:11:29.162739,4500,68,0.0036786580625536866,1.4544831087216503,COMPLETE
37,37,0.6920000314712524,2023-12-14 23:40:35.149279,2023-12-14 23:52:01.862970,0 days 00:11:26.713691,4500,68,0.0037118326052591973,1.4653602459523043,COMPLETE
38,38,0.6829999685287476,2023-12-14 23:52:02.017675,2023-12-15 00:03:25.034836,0 days 00:11:23.017161,4500,68,0.003675613043385355,1.452594866811827,COMPLETE
39,39,0.684499979019165,2023-12-15 00:03:25.175019,2023-12-15 00:14:55.748177,0 days 00:11:30.573158,4500,68,0.003678268219101385,1.456735360543725,COMPLETE
40,40,0.6829999685287476,2023-12-15 00:14:55.919071,2023-12-15 00:26:30.267183,0 days 00:11:34.348112,4500,69,0.003684755431206573,1.4609501802644502,COMPLETE
41,41,0.6679999828338623,2023-12-15 00:26:30.398512,2023-12-15 00:38:07.812547,0 days 00:11:37.414035,4500,69,0.0037065715638724306,1.471154829708115,COMPLETE
42,42,0.6654999852180481,2023-12-15 00:38:08.003123,2023-12-15 00:49:38.414109,0 days 00:11:30.410986,4500,68,0.0037096021445580073,1.4706263981231231,COMPLETE
43,43,0.6775000095367432,2023-12-15 00:49:38.571577,2023-12-15 01:01:02.945445,0 days 00:11:24.373868,4500,68,0.0037063325387272444,1.4654952171892932,COMPLETE
44,44,0.6854999661445618,2023-12-15 01:01:03.111000,2023-12-15 01:12:22.047122,0 days 00:11:18.936122,4500,67,0.003729620174933892,1.4758708071281974,COMPLETE
45,45,0.6754999756813049,2023-12-15 01:12:22.251914,2023-12-15 01:23:41.023805,0 days 00:11:18.771891,4500,67,0.003743476452511768,1.4809080811796604,COMPLETE
46,46,0.6940000057220459,2023-12-15 01:23:41.196112,2023-12-15 01:35:03.804400,0 days 00:11:22.608288,4500,67,0.003806211276311168,1.4969556828031239,COMPLETE
47,47,0.6739999651908875,2023-12-15 01:35:03.946073,2023-12-15 01:46:09.267878,0 days 00:11:05.321805,4500,66,0.0037585534639136783,1.4844799863660576,COMPLETE
48,48,0.6660000085830688,2023-12-15 01:46:09.436517,2023-12-15 01:57:29.760319,0 days 00:11:20.323802,4500,67,0.0037491247610492075,1.4815194170359989,COMPLETE
49,49,0.6644999980926514,2023-12-15 01:57:29.895084,2023-12-15 02:09:04.844623,0 days 00:11:34.949539,4500,68,0.0037325454018122834,1.4680102254644145,COMPLETE
