,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_epochs,params_learning_rate,params_max_grad_norm,state
0,0,0.2911111116409302,2023-12-14 15:12:52.088289,2023-12-14 15:16:48.687160,0 days 00:03:56.598871,256,75,0.01574189004745665,6.0909271150834465,COMPLETE
1,1,0.1577777862548828,2023-12-14 15:16:48.824142,2023-12-14 15:22:36.542616,0 days 00:05:47.718474,512,142,6.690421166498795e-06,5.342613029995931,COMPLETE
2,2,0.8111111521720886,2023-12-14 15:22:36.685402,2023-12-14 15:26:12.589948,0 days 00:03:35.904546,512,87,0.005141096648805749,2.1568030651519257,COMPLETE
3,3,0.3888888955116272,2023-12-14 15:26:12.750031,2023-12-14 15:29:38.316228,0 days 00:03:25.566197,4500,103,0.06220025976819164,8.12229401154132,COMPLETE
4,4,0.30000001192092896,2023-12-14 15:29:38.450783,2023-12-14 15:32:12.759334,0 days 00:02:34.308551,512,61,0.02857080075040725,2.736043819680166,COMPLETE
5,5,0.3955555558204651,2023-12-14 15:32:12.897912,2023-12-14 15:36:28.409864,0 days 00:04:15.511952,4096,133,0.04335045392775135,8.96930803419096,COMPLETE
6,6,0.12222222238779068,2023-12-14 15:36:28.556127,2023-12-14 15:42:07.255472,0 days 00:05:38.699345,256,120,4.247116662617139e-06,8.321627589688907,COMPLETE
7,7,0.9066666960716248,2023-12-14 15:42:07.392815,2023-12-14 15:44:34.386786,0 days 00:02:26.993971,4500,72,0.004300001586162603,2.14741367903489,COMPLETE
8,8,0.08444444835186005,2023-12-14 15:44:34.515946,2023-12-14 15:44:50.155950,0 days 00:00:15.640004,256,2,4.956947932799961e-07,8.658413573580816,COMPLETE
9,9,0.7088888883590698,2023-12-14 15:44:50.326500,2023-12-14 15:48:49.039366,0 days 00:03:58.712866,4096,125,0.021051180519608702,4.827706266587104,COMPLETE
10,10,0.9155555963516235,2023-12-14 15:48:49.172491,2023-12-14 15:51:10.510397,0 days 00:02:21.337906,4500,69,0.002815906395426986,0.8426622681735445,COMPLETE
