,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_epochs,params_learning_rate,params_max_grad_norm,state
0,0,0.7866666316986084,2023-12-14 14:42:21.796696,2023-12-14 14:46:17.377218,0 days 00:03:55.580522,256,75,0.01574189004745665,6.0909271150834465,COMPLETE
1,1,0.3244444727897644,2023-12-14 14:46:17.506691,2023-12-14 14:52:40.875705,0 days 00:06:23.369014,512,142,6.690421166498795e-06,5.342613029995931,COMPLETE
2,2,0.9622222781181335,2023-12-14 14:52:41.043887,2023-12-14 14:56:42.192733,0 days 00:04:01.148846,512,87,0.005141096648805749,2.1568030651519257,COMPLETE
3,3,0.6866666674613953,2023-12-14 14:56:42.343231,2023-12-14 15:01:05.116311,0 days 00:04:22.773080,4500,103,0.06220025976819164,8.12229401154132,COMPLETE
4,4,0.7222222089767456,2023-12-14 15:01:05.258360,2023-12-14 15:03:58.287417,0 days 00:02:53.029057,512,61,0.02857080075040725,2.736043819680166,COMPLETE
5,5,0.7688888907432556,2023-12-14 15:03:58.449457,2023-12-14 15:09:34.527334,0 days 00:05:36.077877,4096,133,0.04335045392775135,8.96930803419096,COMPLETE
6,6,0.21555554866790771,2023-12-14 15:09:34.663401,2023-12-14 15:15:19.279018,0 days 00:05:44.615617,256,120,4.247116662617139e-06,8.321627589688907,COMPLETE
7,7,0.9711111187934875,2023-12-14 15:15:19.427023,2023-12-14 15:18:28.362464,0 days 00:03:08.935441,4500,72,0.004300001586162603,2.14741367903489,COMPLETE
8,8,0.02222222276031971,2023-12-14 15:18:28.501100,2023-12-14 15:18:51.444125,0 days 00:00:22.943025,256,2,4.956947932799961e-07,8.658413573580816,COMPLETE
9,9,0.9288889169692993,2023-12-14 15:18:51.587216,2023-12-14 15:24:07.704539,0 days 00:05:16.117323,4096,125,0.021051180519608702,4.827706266587104,COMPLETE
10,10,0.9799999594688416,2023-12-14 15:24:07.833008,2023-12-14 15:29:45.860823,0 days 00:05:38.027815,512,124,0.003344863661513307,0.2,COMPLETE
11,11,0.9822222590446472,2023-12-14 15:29:45.997586,2023-12-14 15:33:24.493217,0 days 00:03:38.495631,512,78,0.001434101728851626,0.2,COMPLETE
