,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_epochs,params_learning_rate,params_max_grad_norm,state
0,0,0.1066666692495346,2023-12-14 18:24:25.264672,2023-12-14 18:29:33.073618,0 days 00:05:07.808946,256,75,0.01574189004745665,6.0909271150834465,COMPLETE
1,1,0.12444445490837097,2023-12-14 18:29:33.258571,2023-12-14 18:38:11.911458,0 days 00:08:38.652887,512,142,6.690421166498795e-06,5.342613029995931,COMPLETE
2,2,0.10222222656011581,2023-12-14 18:38:12.059640,2023-12-14 18:43:34.899604,0 days 00:05:22.839964,512,87,0.005141096648805749,2.1568030651519257,COMPLETE
3,3,0.10000000894069672,2023-12-14 18:43:35.055795,2023-12-14 18:49:23.942986,0 days 00:05:48.887191,4500,103,0.06220025976819164,8.12229401154132,COMPLETE
4,4,0.13555555045604706,2023-12-14 18:49:24.104163,2023-12-14 18:53:11.321885,0 days 00:03:47.217722,512,61,0.02857080075040725,2.736043819680166,COMPLETE
5,5,0.1088888943195343,2023-12-14 18:53:11.471861,2023-12-14 19:00:43.238711,0 days 00:07:31.766850,4096,133,0.04335045392775135,8.96930803419096,COMPLETE
6,6,0.055555559694767,2023-12-14 19:00:43.386251,2023-12-14 19:08:28.903908,0 days 00:07:45.517657,256,120,4.247116662617139e-06,8.321627589688907,COMPLETE
7,7,0.7577778100967407,2023-12-14 19:08:29.064093,2023-12-14 19:12:41.871727,0 days 00:04:12.807634,4500,72,0.004300001586162603,2.14741367903489,COMPLETE
8,8,0.08444444090127945,2023-12-14 19:12:42.006745,2023-12-14 19:13:06.151829,0 days 00:00:24.145084,256,2,4.956947932799961e-07,8.658413573580816,COMPLETE
9,9,0.10222223401069641,2023-12-14 19:13:06.284936,2023-12-14 19:20:13.805575,0 days 00:07:07.520639,4096,125,0.021051180519608702,4.827706266587104,COMPLETE
10,10,0.8844444751739502,2023-12-14 19:20:13.966681,2023-12-14 19:24:11.103773,0 days 00:03:57.137092,4500,67,0.002805551952000326,1.1550595726681083,COMPLETE
11,11,0.746666669845581,2023-12-14 19:24:11.270846,2023-12-14 19:27:34.604568,0 days 00:03:23.333722,4500,57,0.001300868410015709,0.2,COMPLETE
12,12,0.09333334118127823,2023-12-14 19:27:34.766127,2023-12-14 19:32:40.060833,0 days 00:05:05.294706,4500,88,0.011271168760954848,0.6488470862991311,COMPLETE
13,13,0.8644444942474365,2023-12-14 19:32:40.208183,2023-12-14 19:36:23.643559,0 days 00:03:43.435376,4500,63,0.002422775799501008,2.222746189465874,COMPLETE
14,14,0.6866666674613953,2023-12-14 19:36:23.780151,2023-12-14 19:40:17.433809,0 days 00:03:53.653658,4500,66,0.0008147155465796594,1.4632458272194397,COMPLETE
15,15,0.851111114025116,2023-12-14 19:40:17.605138,2023-12-14 19:44:01.464508,0 days 00:03:43.859370,4500,63,0.0036941370123123635,0.9987408528181221,COMPLETE
16,16,0.864444375038147,2023-12-14 19:44:01.633710,2023-12-14 19:47:52.066240,0 days 00:03:50.432530,4500,65,0.002487422710158897,1.2762387507453987,COMPLETE
17,17,0.8711111545562744,2023-12-14 19:47:52.229707,2023-12-14 19:51:43.213607,0 days 00:03:50.983900,4500,65,0.0026938917053715974,1.4824493211506595,COMPLETE
18,18,0.8488889336585999,2023-12-14 19:51:43.368730,2023-12-14 19:55:34.926343,0 days 00:03:51.557613,4500,65,0.0026949940641322234,1.447290950626791,COMPLETE
19,19,0.8666666746139526,2023-12-14 19:55:35.072431,2023-12-14 19:59:22.756544,0 days 00:03:47.684113,4500,64,0.0027537569073642605,1.473938838671639,COMPLETE
20,20,0.8355555534362793,2023-12-14 19:59:22.899639,2023-12-14 20:03:13.296223,0 days 00:03:50.396584,4500,65,0.0027376652777140443,1.4364020055655637,COMPLETE
21,21,0.8400000333786011,2023-12-14 20:03:13.427922,2023-12-14 20:07:00.105189,0 days 00:03:46.677267,4500,64,0.002825618166438037,1.534567388447467,COMPLETE
22,22,0.8688888549804688,2023-12-14 20:07:00.263559,2023-12-14 20:10:48.051843,0 days 00:03:47.788284,4500,64,0.002771772581392879,1.386729808201998,COMPLETE
23,23,0.8644444942474365,2023-12-14 20:10:48.234897,2023-12-14 20:14:35.975632,0 days 00:03:47.740735,4500,64,0.002748354698944233,1.3357356305828447,COMPLETE
24,24,0.8733333349227905,2023-12-14 20:14:36.185906,2023-12-14 20:18:24.256803,0 days 00:03:48.070897,4500,64,0.00272988698212867,1.2937571959942602,COMPLETE
25,25,0.855555534362793,2023-12-14 20:18:24.421589,2023-12-14 20:22:11.536314,0 days 00:03:47.114725,4500,64,0.0026885550021730504,1.1914997834379164,COMPLETE
26,26,0.8400000333786011,2023-12-14 20:22:11.702692,2023-12-14 20:26:05.461032,0 days 00:03:53.758340,4500,64,0.0027065633795677513,1.268372865941266,COMPLETE
27,27,0.8711110949516296,2023-12-14 20:26:05.630616,2023-12-14 20:29:53.634546,0 days 00:03:48.003930,4500,64,0.0027781507281532986,1.4420221302337486,COMPLETE
28,28,0.880000114440918,2023-12-14 20:29:53.865165,2023-12-14 20:33:40.757154,0 days 00:03:46.891989,4500,64,0.002790156610649122,1.4760878630675467,COMPLETE
29,29,0.8444444537162781,2023-12-14 20:33:40.915407,2023-12-14 20:37:28.173505,0 days 00:03:47.258098,4500,64,0.0028247314439502694,1.5766577929620993,COMPLETE
30,30,0.8666666746139526,2023-12-14 20:37:28.326777,2023-12-14 20:41:16.655741,0 days 00:03:48.328964,4500,64,0.0027116654006143783,1.4395917645207057,COMPLETE
31,31,0.8733333349227905,2023-12-14 20:41:16.850946,2023-12-14 20:45:04.639348,0 days 00:03:47.788402,4500,64,0.0027427093577036855,1.3861775373673881,COMPLETE
32,32,0.8866666555404663,2023-12-14 20:45:04.783215,2023-12-14 20:48:51.839284,0 days 00:03:47.056069,4500,64,0.0027302754051002883,1.3696961755717476,COMPLETE
33,33,0.8577778339385986,2023-12-14 20:48:52.017877,2023-12-14 20:52:40.187408,0 days 00:03:48.169531,4500,64,0.0027107349334633615,1.3469831090119428,COMPLETE
34,34,0.8822221755981445,2023-12-14 20:52:40.406325,2023-12-14 20:56:27.650442,0 days 00:03:47.244117,4500,64,0.0027144443310799,1.35381143217366,COMPLETE
35,35,0.8577778339385986,2023-12-14 20:56:27.805413,2023-12-14 21:00:16.838090,0 days 00:03:49.032677,4500,64,0.0026900069710069263,1.3157680223675599,COMPLETE
36,36,0.8511111736297607,2023-12-14 21:00:16.981672,2023-12-14 21:04:04.724320,0 days 00:03:47.742648,4500,64,0.0026993360655861807,1.3361284098851902,COMPLETE
37,37,0.8711111545562744,2023-12-14 21:04:04.870839,2023-12-14 21:07:52.616382,0 days 00:03:47.745543,4500,64,0.00272163359866693,1.3717025836144054,COMPLETE
38,38,0.8777778148651123,2023-12-14 21:07:52.766824,2023-12-14 21:11:40.891350,0 days 00:03:48.124526,4500,64,0.00270961029120898,1.3590329849698042,COMPLETE
39,39,0.8733333349227905,2023-12-14 21:11:41.022670,2023-12-14 21:15:28.304844,0 days 00:03:47.282174,4500,64,0.0026938295271405214,1.3337859630494135,COMPLETE
40,40,0.851111114025116,2023-12-14 21:15:28.518287,2023-12-14 21:19:15.516907,0 days 00:03:46.998620,4500,64,0.0026747441533144624,1.3032597951441642,COMPLETE
41,41,0.8733333349227905,2023-12-14 21:19:15.653291,2023-12-14 21:23:03.773125,0 days 00:03:48.119834,4500,64,0.002706007995114041,1.3635805698113619,COMPLETE
42,42,0.8733333349227905,2023-12-14 21:23:03.907176,2023-12-14 21:26:51.526900,0 days 00:03:47.619724,4500,64,0.002693753886804376,1.3512099474892976,COMPLETE
43,43,0.8422222137451172,2023-12-14 21:26:51.676301,2023-12-14 21:30:39.140541,0 days 00:03:47.464240,4500,64,0.0026710966808334187,1.3349594613266325,COMPLETE
44,44,0.8577777743339539,2023-12-14 21:30:39.306839,2023-12-14 21:34:27.265174,0 days 00:03:47.958335,4500,64,0.002729751346405923,1.40078825804064,COMPLETE
45,45,0.8488888740539551,2023-12-14 21:34:27.431667,2023-12-14 21:38:15.353840,0 days 00:03:47.922173,4500,64,0.00272675724082247,1.3904720050079054,COMPLETE
46,46,0.8666666746139526,2023-12-14 21:38:15.539753,2023-12-14 21:42:03.202020,0 days 00:03:47.662267,4500,64,0.002730444792402131,1.3784326204146955,COMPLETE
47,47,0.8577777743339539,2023-12-14 21:42:03.380384,2023-12-14 21:45:52.296213,0 days 00:03:48.915829,4500,64,0.0027266060780394103,1.3742099445873177,COMPLETE
48,48,0.8488888740539551,2023-12-14 21:45:52.490277,2023-12-14 21:49:40.033609,0 days 00:03:47.543332,4500,64,0.002726850025750514,1.3700205176688556,COMPLETE
49,49,0.8644444346427917,2023-12-14 21:49:40.182659,2023-12-14 21:53:29.062106,0 days 00:03:48.879447,4500,64,0.002729787300892632,1.370542660809705,COMPLETE
