,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_learning_rate,state
0,0,0.3663069009780884,2024-09-24 09:32:05.141282,2024-09-24 09:35:37.643280,0 days 00:03:32.501998,2584,1.7670169402947936e-05,COMPLETE
1,1,0.7665218114852905,2024-09-24 09:35:37.779248,2024-09-24 09:37:30.048568,0 days 00:01:52.269320,1698,0.002465832945854913,COMPLETE
2,2,0.3735026717185974,2024-09-24 09:37:30.220203,2024-09-24 09:39:25.700319,0 days 00:01:55.480116,584,8.632008168602531e-07,COMPLETE
3,3,0.37075135111808777,2024-09-24 09:39:25.826910,2024-09-24 09:41:17.058131,0 days 00:01:51.231221,2372,2.2310108018679224e-07,COMPLETE
4,4,0.4563598036766052,2024-09-24 09:41:17.192521,2024-09-24 09:43:09.329581,0 days 00:01:52.137060,1974,0.0004042872735027335,COMPLETE
5,5,0.3663069009780884,2024-09-24 09:43:09.457765,2024-09-24 09:44:59.061328,0 days 00:01:49.603563,2633,1.3289448722869174e-07,COMPLETE
6,6,0.7232508659362793,2024-09-24 09:44:59.207888,2024-09-24 09:46:56.973279,0 days 00:01:57.765391,726,0.00987770029400792,COMPLETE
7,7,0.3735026717185974,2024-09-24 09:46:57.112739,2024-09-24 09:48:52.867739,0 days 00:01:55.755000,653,1.2329623163659828e-06,COMPLETE
8,8,0.37075135111808777,2024-09-24 09:48:53.001728,2024-09-24 09:50:46.086731,0 days 00:01:53.085003,1512,6.690421166498795e-06,COMPLETE
9,9,0.3766772747039795,2024-09-24 09:50:46.227373,2024-09-24 09:52:41.571184,0 days 00:01:55.343811,925,3.905441275210791e-05,COMPLETE
10,10,0.7955946922302246,2024-09-24 09:52:41.712743,2024-09-24 09:54:33.162730,0 days 00:01:51.449987,2708,0.004288161332915737,COMPLETE
11,11,0.7955946922302246,2024-09-24 09:54:33.306776,2024-09-24 09:56:24.066422,0 days 00:01:50.759646,2708,0.004310189700400943,COMPLETE
12,12,0.06666667014360428,2024-09-24 09:56:24.200519,2024-09-24 09:58:14.810093,0 days 00:01:50.609574,2708,0.09999999999999999,COMPLETE
13,13,0.7422125935554504,2024-09-24 09:58:14.950976,2024-09-24 10:00:17.548598,0 days 00:02:02.597622,192,0.004296211175539645,COMPLETE
14,14,0.797853946685791,2024-09-24 10:00:17.681274,2024-09-24 10:02:09.824383,0 days 00:01:52.143109,2128,0.004462886549682879,COMPLETE
15,15,0.797853946685791,2024-09-24 10:02:09.954526,2024-09-24 10:04:03.475607,0 days 00:01:53.521081,2151,0.004435991997551111,COMPLETE
16,16,0.797853946685791,2024-09-24 10:04:03.626851,2024-09-24 10:05:57.996940,0 days 00:01:54.370089,2158,0.004367675000136618,COMPLETE
17,17,0.797853946685791,2024-09-24 10:05:58.126150,2024-09-24 10:07:51.277787,0 days 00:01:53.151637,2174,0.004282964886631759,COMPLETE
18,18,0.797853946685791,2024-09-24 10:07:51.409576,2024-09-24 10:09:44.714598,0 days 00:01:53.305022,2216,0.004164319406219524,COMPLETE
19,19,0.7834600210189819,2024-09-24 10:09:44.852224,2024-09-24 10:11:39.890941,0 days 00:01:55.038717,2303,0.003996158575068737,COMPLETE
