,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_learning_rate,state
0,0,0.27000004053115845,2024-09-23 12:09:34.568761,2024-09-23 12:11:38.418009,0 days 00:02:03.849248,263,1.7670169402947936e-05,COMPLETE
1,1,0.2644444704055786,2024-09-23 12:11:38.566093,2024-09-23 12:12:12.872119,0 days 00:00:34.306026,236,0.002465832945854913,COMPLETE
2,2,0.22555556893348694,2024-09-23 12:12:13.049140,2024-09-23 12:12:48.132352,0 days 00:00:35.083212,203,8.632008168602531e-07,COMPLETE
3,3,0.27000004053115845,2024-09-23 12:12:48.263702,2024-09-23 12:13:22.779568,0 days 00:00:34.515866,256,2.2310108018679224e-07,COMPLETE
4,4,0.2644444704055786,2024-09-23 12:13:22.970325,2024-09-23 12:13:57.283418,0 days 00:00:34.313093,245,0.0004042872735027335,COMPLETE
5,5,0.27000004053115845,2024-09-23 12:13:57.411005,2024-09-23 12:14:31.872843,0 days 00:00:34.461838,264,1.3289448722869174e-07,COMPLETE
6,6,0.24000000953674316,2024-09-23 12:14:31.999292,2024-09-23 12:15:07.061943,0 days 00:00:35.062651,207,0.00987770029400792,COMPLETE
7,7,0.22555556893348694,2024-09-23 12:15:07.201955,2024-09-23 12:15:42.440886,0 days 00:00:35.238931,205,1.2329623163659828e-06,COMPLETE
8,8,0.2477777898311615,2024-09-23 12:15:42.592154,2024-09-23 12:16:17.224379,0 days 00:00:34.632225,231,6.690421166498795e-06,COMPLETE
9,9,0.2644444704055786,2024-09-23 12:16:17.373364,2024-09-23 12:16:52.664206,0 days 00:00:35.290842,213,3.905441275210791e-05,COMPLETE
10,10,0.27000004053115845,2024-09-23 12:16:52.793497,2024-09-23 12:17:27.466794,0 days 00:00:34.673297,266,1.511848483404732e-06,COMPLETE
11,11,0.08000000566244125,2024-09-23 12:17:27.607521,2024-09-23 12:18:01.821335,0 days 00:00:34.213814,262,0.02028200670347795,COMPLETE
12,12,0.2644444704055786,2024-09-23 12:18:01.971367,2024-09-23 12:18:36.370509,0 days 00:00:34.399142,227,0.0004135461305054702,COMPLETE
13,13,0.2477777898311615,2024-09-23 12:18:36.539198,2024-09-23 12:19:11.570007,0 days 00:00:35.030809,252,1.0815388666802092e-05,COMPLETE
14,14,0.22555556893348694,2024-09-23 12:19:11.724509,2024-09-23 12:19:48.238208,0 days 00:00:36.513699,194,0.0001727808648826073,COMPLETE
15,15,0.2644444704055786,2024-09-23 12:19:48.397900,2024-09-23 12:20:23.491165,0 days 00:00:35.093265,239,0.000468940096353769,COMPLETE
16,16,0.27000004053115845,2024-09-23 12:20:23.654232,2024-09-23 12:20:58.643417,0 days 00:00:34.989185,266,7.220612163433549e-05,COMPLETE
17,17,0.046666666865348816,2024-09-23 12:20:58.780881,2024-09-23 12:21:34.134095,0 days 00:00:35.353214,224,0.04085327735328024,COMPLETE
18,18,0.2200000137090683,2024-09-23 12:21:34.278147,2024-09-23 12:22:10.752831,0 days 00:00:36.474684,192,0.0044834086783919974,COMPLETE
19,19,0.27000004053115845,2024-09-23 12:22:10.883248,2024-09-23 12:22:45.696886,0 days 00:00:34.813638,266,3.490100298266266e-05,COMPLETE
