Step,Clipped_Mean_vs_Unclipped_Mean,Clipped_Mean_vs_Unclipped_Median,Unclipped_Mean_vs_Unclipped_Median
0,0.999573826789856,0.9901204705238342,0.9898178577423096
1,0.999569833278656,0.9890650510787964,0.9885038137435913
2,0.9986819624900818,0.9877548813819885,0.9860019683837891
3,0.9963645339012146,0.9826000928878784,0.9776231646537781
4,0.9917677640914917,0.983604907989502,0.9727507829666138
5,0.9690037965774536,0.9717153310775757,0.9270635843276978
6,0.9604654312133789,0.9563024044036865,0.894066572189331
7,0.9351575374603271,0.937273383140564,0.8374239206314087
8,0.9342268705368042,0.8995773792266846,0.7982312440872192
9,0.917543888092041,0.9032307863235474,0.777267575263977
10,0.9865075349807739,0.881376326084137,0.8401151895523071
11,0.9851313829421997,0.851189911365509,0.7978417277336121
12,0.9145916104316711,0.8581405878067017,0.7305158376693726
13,0.917923629283905,0.8469763398170471,0.7308731079101562
14,0.9390943646430969,0.8457447290420532,0.7543798685073853
15,0.8847552537918091,0.8578778505325317,0.6821029186248779
16,0.9432430267333984,0.8668177127838135,0.7695904970169067
17,0.9165624380111694,0.811907947063446,0.6898820996284485
18,0.9501267671585083,0.8590813875198364,0.766096293926239
19,0.9511696696281433,0.8656859397888184,0.7707159519195557
20,0.9510399699211121,0.838100016117096,0.7439773082733154
21,0.9551013112068176,0.857451319694519,0.7740601897239685
22,0.9400094747543335,0.8655950427055359,0.7737427949905396
23,0.9539811015129089,0.8509026169776917,0.7580710053443909
24,0.9535577297210693,0.8600281476974487,0.779465913772583
25,0.961722195148468,0.8780602216720581,0.8085020780563354
26,0.945067286491394,0.8357270956039429,0.7399498820304871
27,0.9280962944030762,0.841571569442749,0.712576150894165
28,0.9362562894821167,0.8517988920211792,0.7461513876914978
29,0.9261049628257751,0.8146432042121887,0.6828979849815369
30,0.9456406235694885,0.7394506931304932,0.6242836117744446
31,0.938365638256073,0.7795275449752808,0.6373486518859863
32,0.941260814666748,0.7457394599914551,0.6297609806060791
33,0.9564660787582397,0.7746096253395081,0.6724594831466675
34,0.9211840629577637,0.7709827423095703,0.6119122505187988
35,0.9268815517425537,0.768724799156189,0.617661714553833
36,0.954018235206604,0.7534632682800293,0.635082483291626
37,0.9632071852684021,0.6387246251106262,0.5081908106803894
38,0.9432000517845154,0.7607719898223877,0.6212341785430908
39,0.954789400100708,0.7451996803283691,0.6189722418785095
40,0.956706702709198,0.7474656105041504,0.6344026923179626
41,0.970577597618103,0.7372706532478333,0.6535483002662659
42,0.9823827743530273,0.6536420583724976,0.5834999680519104
43,0.9838568568229675,0.7096315026283264,0.6548354625701904
44,0.9821444153785706,0.7286868095397949,0.6694851517677307
45,0.9617270827293396,0.7477337718009949,0.6689906120300293
46,0.9397995471954346,0.689275860786438,0.5720783472061157
47,0.9314956068992615,0.6557064056396484,0.5258913636207581
48,0.942751407623291,0.7427852749824524,0.6368491649627686
49,0.9315298795700073,0.6826620101928711,0.5719940662384033
50,0.9004314541816711,0.6885936856269836,0.5324877500534058
