Step,Class_0,Class_1,Class_2,Class_3,Class_4,Class_5,Class_6,Class_7,Class_8,Class_9,Class_10,Class_11,Class_12,Class_13,Class_14
0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.9705469608306885,0.29886913299560547,0.37451738119125366,0.0982532724738121,0.06149732694029808,0.07621951401233673,0.05223880708217621,0.12931033968925476,0.005263158120214939,0.005917159840464592,0.014388489536941051,0.0,0.0,0.032967034727334976,0.01587301678955555
2,0.9616438150405884,0.8585526347160339,0.8421052694320679,0.37899544835090637,0.2947368323802948,0.2933333218097687,0.1678321659564972,0.315315306186676,0.010638297535479069,0.0,0.02985074557363987,0.0,0.0,0.02380952425301075,0.0
3,0.9623430967330933,0.9129692912101746,0.8557114005088806,0.47453704476356506,0.3922652006149292,0.3355048894882202,0.23357664048671722,0.40888887643814087,0.005347593687474728,0.0,0.029411764815449715,0.0,0.0,0.04545454680919647,0.0
4,0.9621621370315552,0.9840764403343201,0.887159526348114,0.7142857313156128,0.7112299203872681,0.42953020334243774,0.4296296238899231,0.5135135054588318,0.0,0.0,0.0972222238779068,0.0,0.021739130839705467,0.1041666641831398,0.0
5,0.9658002853393555,0.9886363744735718,0.8799212574958801,0.7823129296302795,0.751978874206543,0.4192439913749695,0.4522058963775635,0.5384615659713745,0.005235602147877216,0.0,0.15172414481639862,0.0,0.01075268816202879,0.10000000149011612,0.014492753893136978
6,0.9762532711029053,0.9965517520904541,0.8835341334342957,0.8761904835700989,0.841269850730896,0.46710526943206787,0.5652173757553101,0.5714285969734192,0.010309278033673763,0.0,0.25333333015441895,0.0,0.03999999910593033,0.07500000298023224,0.05128205195069313
7,0.9766803979873657,0.9965576529502869,0.8835341334342957,0.8865247964859009,0.8535911440849304,0.454849511384964,0.5947955250740051,0.5884955525398254,0.010204081423580647,0.0,0.2569444477558136,0.0,0.05050504952669144,0.06976744532585144,0.08219178020954132
8,0.9776536226272583,0.9964285492897034,0.8725099563598633,0.9090909361839294,0.9120879173278809,0.5,0.6712328791618347,0.6486486196517944,0.03125,0.0,0.27419355511665344,0.0,0.06122449040412903,0.025641025975346565,0.1388888955116272
9,0.9750692248344421,0.9965397715568542,0.8775100111961365,0.9026548862457275,0.9153005480766296,0.49013158679008484,0.7123287916183472,0.6842105388641357,0.040816325694322586,0.012903225608170033,0.2734375,0.0,0.058252427726984024,0.0602409653365612,0.14084507524967194
10,0.9718309640884399,0.9933554530143738,0.8798449635505676,0.8930232524871826,0.9190751314163208,0.5354838967323303,0.800000011920929,0.7692307829856873,0.10204081982374191,0.013333333656191826,0.35211268067359924,0.0,0.03703703731298447,0.12195122241973877,0.12903225421905518
11,0.9725036025047302,0.993220329284668,0.8877952694892883,0.9002320170402527,0.9237536787986755,0.5264797210693359,0.8358778357505798,0.7824074029922485,0.12755101919174194,0.01342281885445118,0.3496503531932831,0.0,0.048076923936605453,0.10465116053819656,0.13432836532592773
12,0.9756097793579102,0.9934425950050354,0.9049429893493652,0.8812785148620605,0.9347826242446899,0.6089743375778198,0.8721804618835449,0.8534482717514038,0.25,0.025641025975346565,0.3661971688270569,0.0,0.10000000149011612,0.07692307978868484,0.1621621549129486
