Step,Clipped_Mean_vs_Unclipped_Mean,Clipped_Mean_vs_Unclipped_Median,Unclipped_Mean_vs_Unclipped_Median,Clipped_0.25_vs_Clipped_Mean,Clipped_0.5_vs_Clipped_Mean,Clipped_0.75_vs_Clipped_Mean,Clipped_0.25_vs_Unclipped_Mean,Clipped_0.5_vs_Unclipped_Mean,Clipped_0.75_vs_Unclipped_Mean,Clipped_0.25_vs_Unclipped_Median,Clipped_0.5_vs_Unclipped_Median,Clipped_0.75_vs_Unclipped_Median
0,0.9999997615814209,0.15995177626609802,0.1599465310573578,0.9991456270217896,0.9991306066513062,0.16029277443885803,0.9995203018188477,0.9995087385177612,0.1601247787475586,0.9998068809509277,0.9997990727424622,0.16002821922302246
1,1.0,0.14426998794078827,0.14426998794078827,0.9987194538116455,0.9987194538116455,0.1434377282857895,0.9993615746498108,0.9993615746498108,0.14355605840682983,0.9997674822807312,0.9997674822807312,0.14401128888130188
2,1.0,0.15349842607975006,0.15349842607975006,0.9977145791053772,0.9977145791053772,0.1482435017824173,0.998900294303894,0.998900294303894,0.15004512667655945,0.9996481537818909,0.9996481537818909,0.15212762355804443
3,0.9999889731407166,0.17809194326400757,0.17822059988975525,0.9948376417160034,0.9947212934494019,0.16525506973266602,0.9977669715881348,0.9976882338523865,0.17057295143604279,0.9994297027587891,0.999380350112915,0.17551396787166595
4,1.0000001192092896,0.20504489541053772,0.20504489541053772,0.9880089163780212,0.9880089163780212,0.18134291470050812,0.9958237409591675,0.9958237409591675,0.19201889634132385,0.999068558216095,0.999068558216095,0.20029792189598083
5,1.0,0.2421698272228241,0.24217075109481812,0.9786208271980286,0.9786002039909363,0.21393649280071259,0.9940817356109619,0.9940674304962158,0.22940638661384583,0.9989601373672485,0.9989516735076904,0.238761305809021
6,0.9999989867210388,0.2765343487262726,0.27657270431518555,0.9674915671348572,0.9673334360122681,0.24132046103477478,0.9923141002655029,0.9922207593917847,0.26317232847213745,0.9989041090011597,0.9988582134246826,0.27355092763900757
7,0.9999938011169434,0.26481276750564575,0.26496148109436035,0.9426273703575134,0.9420372247695923,0.21755844354629517,0.9872127771377563,0.9868836998939514,0.24630236625671387,0.9986661672592163,0.9985321760177612,0.2605917155742645
8,0.9999971389770508,0.27675795555114746,0.2767813205718994,0.9318864345550537,0.9314963817596436,0.2316150814294815,0.98362797498703,0.9833953976631165,0.2583366930484772,0.9984309077262878,0.9983338713645935,0.2730025053024292
9,0.9999523758888245,0.26032817363739014,0.26037460565567017,0.8995234966278076,0.8970348834991455,0.21332472562789917,0.9803879261016846,0.9790473580360413,0.24677331745624542,0.9978407621383667,0.9972699880599976,0.2590726613998413
10,0.9999580979347229,0.28349995613098145,0.2835632562637329,0.8908578157424927,0.8887965679168701,0.24035438895225525,0.9832648038864136,0.9822484254837036,0.27212977409362793,0.9980665445327759,0.9976088404655457,0.28189295530319214
11,0.9999351501464844,0.2558363974094391,0.2559952139854431,0.8968322277069092,0.8944538831710815,0.21509115397930145,0.9797582030296326,0.9783790707588196,0.2404976338148117,0.997938334941864,0.9973388910293579,0.25332123041152954
12,0.999465823173523,0.23718270659446716,0.23732782900333405,0.8144293427467346,0.8074555397033691,0.20497944951057434,0.9634851217269897,0.9591753482818604,0.23089604079723358,0.9966658353805542,0.9945197105407715,0.23639115691184998
