step,Class_0_Body_Mean_Norm,Class_1_Body_Mean_Norm,Class_2_Body_Mean_Norm,Class_3_Body_Mean_Norm,Class_4_Body_Mean_Norm,Class_5_Body_Mean_Norm,Class_6_Body_Mean_Norm,Class_7_Body_Mean_Norm,Class_8_Body_Mean_Norm,Class_9_Body_Mean_Norm,Class_10_Body_Mean_Norm,Class_11_Body_Mean_Norm,Class_12_Body_Mean_Norm,Class_13_Body_Mean_Norm,Class_14_Body_Mean_Norm,Class_0_Head_Mean_Norm,Class_1_Head_Mean_Norm,Class_2_Head_Mean_Norm,Class_3_Head_Mean_Norm,Class_4_Head_Mean_Norm,Class_5_Head_Mean_Norm,Class_6_Head_Mean_Norm,Class_7_Head_Mean_Norm,Class_8_Head_Mean_Norm,Class_9_Head_Mean_Norm,Class_10_Head_Mean_Norm,Class_11_Head_Mean_Norm,Class_12_Head_Mean_Norm,Class_13_Head_Mean_Norm,Class_14_Head_Mean_Norm
0,187.87703450520834,168.77867889404297,174.5896135965983,176.7022272745768,145.67125193277994,138.06919733683267,128.34775390625,128.44734319051108,117.79983329772949,118.12392679850261,125.29121208190918,96.72216987609863,95.01697731018066,103.2095209757487,125.45831298828125,187.87703450520834,168.77867889404297,174.5896135965983,176.7022272745768,145.67125193277994,138.06918970743814,128.34775390625,128.44734319051108,117.79983329772949,118.12392679850261,125.29121208190918,96.72216606140137,95.01697731018066,103.2095209757487,125.45831298828125
1,176.22716267903647,167.81770706176758,180.6706829071045,164.99510510762533,151.30417124430338,134.69858837127686,131.70010722767222,127.0879700978597,119.70031127929687,107.51101684570312,128.79094409942627,89.74466705322266,90.01537068684895,112.96659240722656,105.49666976928711,176.19534174601236,167.78488286336264,180.60161908467612,164.93644841512045,151.27983029683432,134.65027236938477,131.6797499223189,127.07102457682292,119.69107284545899,107.50170571463448,128.7854518890381,89.71883869171143,89.01194890340169,112.95426940917969,105.47667694091797
2,148.85396830240884,150.05023447672525,162.99945958455405,165.74813842773438,144.1266860961914,112.59249623616536,141.87285766601562,128.9650863647461,108.5500602722168,138.62525685628256,141.1835422515869,93.63753509521484,92.87608337402344,76.59381357828777,0.0,148.7925059000651,149.97161102294922,162.60316721598306,165.6700408935547,144.06512578328451,111.66166432698567,141.82569732666016,128.83481140136718,108.5127436319987,138.56755574544272,141.15597915649414,93.56072743733723,92.85695266723633,76.5633036295573,0.0
3,150.63358688354492,143.13535372416177,156.73097229003906,151.0888408314098,137.41518338521323,124.32287406921387,135.06435324928978,122.29071599786931,106.58354059855144,139.41446685791016,142.3627199445452,92.06788126627605,88.27306256975446,83.50403900146485,87.2986831665039,150.49183654785156,142.85737673441568,155.7844661365856,150.9368903420188,137.33012262980142,123.42225519816081,134.9645898992365,122.15441131591797,106.51614316304524,136.63653346470423,142.31593540736608,91.79872767130534,88.19349779401507,83.22974243164063,87.13360595703125
4,135.34699885050455,143.2397944132487,142.6130002339681,125.3483378092448,141.96633656819662,114.48881149291992,118.71723810831706,120.39391632080078,121.68844451904297,130.92098999023438,102.96230506896973,99.76717758178711,93.04425811767578,86.48367118835449,0.0,135.2206548055013,142.80961481730142,141.67461776733398,125.08953475952148,141.74391555786133,114.35515975952148,118.58157348632812,120.17873992919922,121.22485809326172,130.79320335388184,102.88473320007324,98.72750663757324,93.01259994506836,86.12675094604492,0.0
5,128.8071174621582,136.28022257486978,138.67698738791725,133.12466049194336,133.64533678690592,121.3156807639382,134.39458604292437,117.2433124889027,116.38739166259765,122.22217559814453,115.09885787963867,88.4178819656372,93.99681418282645,92.74832807268415,96.69776916503906,128.67732111612955,135.55990600585938,138.01371626420453,132.79980913798013,133.45962492624918,120.41415682705966,134.2267275723544,117.07409251819958,116.06727523803711,122.11106777191162,115.0141191482544,87.49678993225098,93.79160962785993,92.45134735107422,96.67465209960938
6,108.05914815266927,93.79810460408528,101.28154309590657,118.00184631347656,139.4731470743815,123.48536046346028,134.61617431640624,108.63809204101562,152.04980341593424,120.82488441467285,141.1515293121338,114.90206654866536,84.40275065104167,81.55470848083496,88.14366149902344,107.04073842366536,93.32432111104329,100.49373626708984,117.65136591593425,139.2631950378418,121.61385726928711,134.46011352539062,108.48911666870117,151.83538309733072,120.69841194152832,140.80880737304688,114.10548909505208,83.81090037027995,81.50180244445801,88.10749053955078
7,103.88965288798015,97.5366719563802,112.15288702646892,124.85006586710612,134.01587549845377,121.41316795349121,132.35286019065163,102.02381833394368,141.35856819152832,126.21912819998605,134.1431188583374,120.89745025634765,85.23280843098958,93.2321605682373,88.32161712646484,103.05227216084798,94.11367066701253,110.62904802958171,124.2619997660319,133.70365778605142,120.14272244771321,132.1720893166282,101.86764621734619,140.8135134379069,126.04612949916294,133.7820920944214,120.20504608154297,83.39545822143555,92.94032764434814,88.27465057373047
8,91.37287750244141,74.43737182617187,120.2055160522461,118.94088287353516,122.52042007446289,121.84582214355468,133.2352123260498,111.25033569335938,145.30842971801758,97.8549296061198,126.10530662536621,116.15947723388672,91.2816390991211,113.20360565185547,133.36334228515625,89.12515716552734,72.1517433166504,119.1765121459961,115.24213562011718,122.10596237182617,120.91107025146485,133.03060913085938,111.09150848388671,145.1370449066162,97.72846221923828,125.87428855895996,115.74316215515137,90.90400950113933,111.2884750366211,133.0742645263672
9,87.31939385154031,72.82501567493786,113.54056739807129,120.29020552201705,116.96942242709073,113.19294253262606,114.77518005371094,107.56795779141513,151.7072321573893,108.13132095336914,110.99207210540771,108.83497492472331,86.36206944783528,106.55467224121094,116.59336471557617,84.52581370960583,71.39985413984819,112.01138756491922,118.3472470370206,116.48527284102006,111.39272238991477,114.19343338012695,107.36944233287464,151.48177846272787,107.94814205169678,110.60892391204834,108.38795216878255,86.01764170328777,105.80805358886718,116.42024612426758
10,65.45941988627116,66.16631889343262,106.33395258585612,119.34991709391277,107.0288766225179,115.13706715901692,110.30484466552734,104.1544418334961,135.8791821797689,109.61480712890625,142.96090698242188,120.0949223836263,85.61699485778809,96.92296981811523,100.18055725097656,65.15874290466309,65.6042594909668,104.97365951538086,118.4684575398763,104.74926312764485,113.95287450154622,109.87477416992188,103.92825826009114,135.6628163655599,109.35387878417968,142.68560791015625,119.8196538289388,83.65790176391602,96.36415481567383,100.11905670166016
11,65.70446153120561,65.5592712055553,114.43136457963423,118.34221787886186,106.60897688432173,120.75177452780984,118.72171190049913,110.02436599731445,140.10860595703124,121.88060215541294,139.2354736328125,107.91694968087333,91.89349619547527,99.84859139578683,94.57091522216797,65.42249783602628,65.11283319646662,113.37348036332564,117.51617639715022,104.8127722306685,119.34075026078658,118.34202490912543,109.73941192626953,139.10355377197266,121.60794285365513,138.94234212239584,107.6416745867048,90.10810724894206,99.43592725481305,94.47497177124023
12,62.596662839253746,55.366519927978516,106.76371510823567,104.62810325622559,87.94239870707194,121.94591776529948,99.88258934020996,96.09016990661621,122.93371963500977,122.06525802612305,138.77704048156738,95.96798451741536,98.29754638671875,93.78988265991211,134.099365234375,62.10055446624756,54.96024958292643,106.43221028645833,103.5023603439331,87.60945574442546,121.3966776529948,99.57605171203613,95.80726559956868,117.05105336507161,121.72987365722656,135.9695339202881,95.63219197591145,97.9122543334961,93.07498168945312,133.9496307373047
13,62.7407333056132,60.43002065022787,101.79304472605388,105.39216216405232,96.00395488739014,116.23083432515462,99.61538410186768,99.04902059381658,118.19283231099446,124.89697933197021,127.94161987304688,97.7768669128418,96.6852544148763,89.833740234375,134.06805419921875,62.386714140574135,59.68107986450195,101.44295231501262,104.4001309076945,94.59941577911377,115.05274899800618,99.30024909973145,98.79730952869762,115.08370526631673,124.57049083709717,126.26655796595982,97.44100189208984,95.96339670817058,89.40350850423177,133.86217498779297
14,70.6849250793457,64.70600814819336,99.68621673583985,109.82886581420898,85.63088684082031,112.08527374267578,111.62256164550782,114.02751007080079,117.75064697265626,129.48460642496744,109.3450698852539,92.34181213378906,93.08832931518555,86.02375030517578,99.78260803222656,70.32011489868164,64.41107330322265,99.3333526611328,108.6325927734375,84.65329284667969,106.23308181762695,111.10189056396484,113.77605285644532,117.48258819580079,129.15347035725912,109.20745086669922,92.15913391113281,92.5797119140625,85.63696543375652,99.49282836914062
15,62.575765956531875,58.549847862937234,105.2245262145996,99.01977643099698,89.87183830954812,103.3262051669034,96.24683744257146,104.36091405695134,105.19820508089933,127.24609701974052,110.12998744419643,98.16251118977864,87.92831166585286,89.22379411969867,94.21067810058594,62.2926569851962,58.25414258783514,104.76478729248046,97.84588102860884,89.25889171253552,100.10019406405362,95.83219190077348,104.09621117331766,104.79201368852095,126.89168221609933,109.88726479666573,97.92869059244792,87.60656992594402,88.23437173025948,93.98859786987305
16,64.82772954305013,54.860633532206215,81.98910331726074,89.16704559326172,93.28922843933105,106.89907360076904,87.84083442687988,77.41361554463704,115.4898796081543,135.282958984375,122.94172668457031,78.50690650939941,87.17244338989258,82.58492660522461,88.67473602294922,64.53920873006184,54.560668309529625,81.31868139902751,87.98728243509929,92.37853050231934,103.91646957397461,87.46871719360351,77.1686782836914,115.2820332845052,134.8437067667643,122.6847412109375,78.3138313293457,86.08978271484375,81.29711151123047,88.50189208984375
17,58.03411269187927,50.781736850738525,89.37212614579634,90.61981423695882,87.99246867497762,119.07458457946777,82.50930699435148,83.93244965871175,113.84267361958821,128.90077318464006,127.08075544569228,93.44657135009766,92.66992950439453,91.69505004882812,110.40221786499023,57.780124266942344,50.5180090268453,88.63111652027477,89.35565853118896,86.54432439804077,116.1623924255371,82.21214918656783,83.63459873199463,113.21683438618977,128.55340140206474,126.77562798394098,93.22160012381417,91.38522011893136,90.84188995361328,110.13838958740234
18,71.67652829488118,24.515122890472412,87.08459218343098,102.15986522038777,83.76450119018554,117.26212819417317,79.15826479593913,84.91172726949056,124.31838099161784,118.57232513427735,111.70096206665039,93.26339149475098,92.60297546386718,93.04260444641113,131.84266662597656,71.08236440022786,24.387120087941486,86.58535893758138,101.61172151565552,83.42548770904541,112.37047449747722,78.90064875284831,84.60216776529948,123.98373921712239,118.32412261962891,111.07429695129395,92.82050132751465,91.19705200195312,92.80789184570312,131.46368408203125
19,65.92392667134602,34.86477382977804,81.88207733631134,98.04216814041138,75.15046414462003,107.36724630991618,72.31122239430745,83.36989697543058,116.36894364790483,122.56837209065755,111.9890022277832,91.12717914581299,85.04131984710693,92.70385487874348,110.30412292480469,64.67376772562663,34.62810508410136,81.25202578306198,96.75164930025737,74.76768467643045,104.54649098714192,72.07793108622234,83.08208500255238,116.08448167280717,122.24107699924045,110.61985397338867,90.8245735168457,83.9767484664917,92.50200907389323,109.99637985229492
20,70.73861630757649,50.003973642985024,103.693665822347,102.23352177937825,83.89671268463135,111.11310068766277,59.305685424804686,75.69440841674805,98.09496116638184,97.95117492675782,124.48006057739258,99.1253433227539,80.07893676757813,90.67722625732422,96.72351837158203,67.84667650858562,49.17695458730062,103.16894213358562,100.82433191935222,81.3642147064209,110.60342025756836,59.02358627319336,75.4271634419759,97.80637804667155,97.38447265625,124.10220718383789,98.73113250732422,78.70899658203125,90.35929870605469,96.41952514648438
21,64.23853460947673,52.892695903778076,91.80484167734782,103.62367153167725,73.69256123629484,110.16000366210938,58.820472803982824,79.08157036521219,95.49510088833895,99.51435947418213,110.889892578125,108.15538330078125,82.78645515441895,93.64383316040039,114.03718185424805,62.58916791280111,52.20167048772176,91.32261244455974,102.0588191350301,72.12392161109231,109.44885953267415,58.51171086051247,78.24125914140181,95.20022617686878,98.64278411865234,110.55828966413226,107.5451675415039,81.10770511627197,93.3077880859375,113.73943328857422
22,66.22068659464519,60.44282213846842,61.006585121154785,112.25777180989583,61.49804210662842,119.13402557373047,67.77165832519532,66.92935721079509,80.01742172241211,129.3554484049479,112.37249565124512,101.82564544677734,89.38380737304688,95.40530014038086,131.04049682617188,65.65685653686523,59.99822966257731,60.28290049235026,111.03439839680989,59.41487344106039,118.06599680582683,67.39464874267578,64.74326260884602,79.70081837972005,128.69075520833334,112.00517463684082,101.09468841552734,87.92613525390625,95.07527923583984,130.7407684326172
