Step,Class_0,Class_1,Class_2,Class_3,Class_4,Class_5,Class_6,Class_7,Class_8,Class_9,Class_10,Class_11,Class_12,Class_13,Class_14
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,0.6875,0.7916666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,0.20833333333333334,0.2916666666666667,0.825,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,0.125,0.0625,0.55,0.9166666666666666,0.8125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,0.0625,0.0625,0.375,0.6666666666666666,0.625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,0.041666666666666664,0.0625,0.3,0.5,0.5,1.0,0.95,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,0.020833333333333332,0.020833333333333332,0.275,0.3611111111111111,0.40625,1.0,0.95,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,0.020833333333333332,0.020833333333333332,0.275,0.2777777777777778,0.34375,0.92,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,0.020833333333333332,0.020833333333333332,0.25,0.3055555555555556,0.25,0.8,0.8,0.95,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,0.020833333333333332,0.020833333333333332,0.225,0.3333333333333333,0.25,0.6,0.7,0.55,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,0.020833333333333332,0.020833333333333332,0.2,0.3055555555555556,0.1875,0.6,0.65,0.4,0.9473684210526315,1.0,1.0,1.0,1.0,1.0,1.0
13,0.020833333333333332,0.020833333333333332,0.2,0.3333333333333333,0.15625,0.56,0.5,0.3,0.9473684210526315,1.0,1.0,1.0,1.0,1.0,1.0
14,0.020833333333333332,0.020833333333333332,0.2,0.2777777777777778,0.125,0.48,0.25,0.25,0.8947368421052632,1.0,1.0,1.0,1.0,1.0,1.0
15,0.020833333333333332,0.020833333333333332,0.2,0.2777777777777778,0.125,0.4,0.15,0.2,0.8947368421052632,1.0,0.9285714285714286,1.0,1.0,1.0,1.0
16,0.020833333333333332,0.020833333333333332,0.2,0.3055555555555556,0.125,0.4,0.1,0.2,0.7368421052631579,1.0,0.8571428571428571,1.0,1.0,1.0,1.0
17,0.041666666666666664,0.020833333333333332,0.2,0.3055555555555556,0.125,0.36,0.1,0.25,0.5263157894736842,1.0,0.8571428571428571,1.0,1.0,1.0,1.0
18,0.041666666666666664,0.0625,0.2,0.3055555555555556,0.15625,0.36,0.1,0.2,0.3684210526315789,1.0,0.8571428571428571,1.0,1.0,1.0,1.0
19,0.041666666666666664,0.0625,0.2,0.3888888888888889,0.15625,0.36,0.05,0.2,0.21052631578947367,0.9230769230769231,0.8571428571428571,1.0,1.0,1.0,1.0
20,0.041666666666666664,0.0625,0.2,0.3888888888888889,0.125,0.32,0.05,0.2,0.10526315789473684,0.9230769230769231,0.7857142857142857,1.0,1.0,1.0,1.0
21,0.041666666666666664,0.0625,0.2,0.3611111111111111,0.125,0.32,0.05,0.15,0.10526315789473684,0.9230769230769231,0.7142857142857143,1.0,1.0,1.0,1.0
22,0.041666666666666664,0.0625,0.2,0.3333333333333333,0.125,0.32,0.05,0.15,0.0,0.8461538461538461,0.7142857142857143,1.0,1.0,1.0,1.0
23,0.041666666666666664,0.0625,0.2,0.3611111111111111,0.125,0.36,0.05,0.2,0.0,0.6923076923076923,0.6428571428571429,1.0,1.0,1.0,1.0
24,0.041666666666666664,0.08333333333333333,0.2,0.3333333333333333,0.125,0.36,0.05,0.2,0.0,0.5384615384615384,0.5714285714285714,1.0,1.0,1.0,1.0
