step,Class_0_Nonparametric_Skewness,Class_1_Nonparametric_Skewness,Class_2_Nonparametric_Skewness,Class_3_Nonparametric_Skewness,Class_4_Nonparametric_Skewness,Class_5_Nonparametric_Skewness,Class_6_Nonparametric_Skewness,Class_7_Nonparametric_Skewness,Class_8_Nonparametric_Skewness,Class_9_Nonparametric_Skewness,Class_10_Nonparametric_Skewness,Class_11_Nonparametric_Skewness,Class_12_Nonparametric_Skewness,Class_13_Nonparametric_Skewness,Class_14_Nonparametric_Skewness,Class_0_Nonparametric_Skewness_Std,Class_1_Nonparametric_Skewness_Std,Class_2_Nonparametric_Skewness_Std,Class_3_Nonparametric_Skewness_Std,Class_4_Nonparametric_Skewness_Std,Class_5_Nonparametric_Skewness_Std,Class_6_Nonparametric_Skewness_Std,Class_7_Nonparametric_Skewness_Std,Class_8_Nonparametric_Skewness_Std,Class_9_Nonparametric_Skewness_Std,Class_10_Nonparametric_Skewness_Std,Class_11_Nonparametric_Skewness_Std,Class_12_Nonparametric_Skewness_Std,Class_13_Nonparametric_Skewness_Std,Class_14_Nonparametric_Skewness_Std,Class_0_Geo_Skewness,Class_1_Geo_Skewness,Class_2_Geo_Skewness,Class_3_Geo_Skewness,Class_4_Geo_Skewness,Class_5_Geo_Skewness,Class_6_Geo_Skewness,Class_7_Geo_Skewness,Class_8_Geo_Skewness,Class_9_Geo_Skewness,Class_10_Geo_Skewness,Class_11_Geo_Skewness,Class_12_Geo_Skewness,Class_13_Geo_Skewness,Class_14_Geo_Skewness,Class_0_Geo_Skewness_Std,Class_1_Geo_Skewness_Std,Class_2_Geo_Skewness_Std,Class_3_Geo_Skewness_Std,Class_4_Geo_Skewness_Std,Class_5_Geo_Skewness_Std,Class_6_Geo_Skewness_Std,Class_7_Geo_Skewness_Std,Class_8_Geo_Skewness_Std,Class_9_Geo_Skewness_Std,Class_10_Geo_Skewness_Std,Class_11_Geo_Skewness_Std,Class_12_Geo_Skewness_Std,Class_13_Geo_Skewness_Std,Class_14_Geo_Skewness_Std,Class_0_Mean_Kurtosis,Class_1_Mean_Kurtosis,Class_2_Mean_Kurtosis,Class_3_Mean_Kurtosis,Class_4_Mean_Kurtosis,Class_5_Mean_Kurtosis,Class_6_Mean_Kurtosis,Class_7_Mean_Kurtosis,Class_8_Mean_Kurtosis,Class_9_Mean_Kurtosis,Class_10_Mean_Kurtosis,Class_11_Mean_Kurtosis,Class_12_Mean_Kurtosis,Class_13_Mean_Kurtosis,Class_14_Mean_Kurtosis
0,-8.291441838670366e-11,8.156975095374719e-11,-1.763423712608514e-10,-6.000421687302193e-11,-3.8817271619251414e-10,-3.74073653996998e-11,-2.180219754732704e-10,-1.884386396922011e-10,-1.0205625927683926e-10,5.185162021970058e-11,1.6361874355386163e-10,3.248703736580261e-11,8.433100745497413e-11,2.0208326678705646e-10,3.299381948207447e-11,4.742011783243072e-10,4.0878339602201663e-10,3.424873162849451e-10,5.254697788004137e-10,3.483439092732965e-10,5.167440364495235e-10,4.206940629192246e-10,4.1019548868703737e-10,3.828335426447893e-10,3.736970455303634e-10,3.9416978014905624e-10,4.624267357922207e-10,3.6414338211443464e-10,1.731723792142148e-10,1.764983298402356e-10,1.7050713618793623e-10,1.0969326558196713e-09,-7.432858217804039e-10,1.1601601901389813e-09,6.469149105292615e-10,1.370809687983865e-09,6.962697085555192e-10,-4.2034428715531647e-10,1.4053185282136837e-09,2.6381075102221985e-09,2.101736340520688e-09,2.7126536572552595e-09,1.4756022792550283e-10,5.890955723231173e-09,1.0244667336678503e-09,1.1684819778423616e-09,1.6031538319083438e-09,1.1762137930304561e-09,1.6205400354962762e-09,1.3823778788335517e-09,1.9444934551415827e-09,1.8222692244052041e-09,1.925112735889911e-09,2.2053043835512653e-09,2.6297464206237464e-09,2.4971336110013453e-09,3.2990290499412822e-09,4.0784282617778445e-09,3.0407887319228166e-09,1.3161113976423167e-08,933.319091796875,1159.097412109375,2063.44970703125,1431.0645751953125,1992.501220703125,1758.322509765625,3453.34423828125,1394.4873046875,953.6658935546875,744.8885498046875,1457.921142578125,1311.205810546875,1044.8543701171875,1285.4609375,1243.108154296875
1,7.163107511587441e-05,0.00017781030328478664,0.000132326313178055,-0.00013447173114400357,8.963608706835657e-05,5.8984573115594685e-05,0.0001292167289648205,-0.00024596074945293367,-4.196733789285645e-05,8.529829756298568e-06,6.885519542265683e-05,7.22164404578507e-05,0.0006020813598297536,5.656641587847844e-05,-0.0002823127433657646,0.00040519933099858463,0.0004954554606229067,0.0007194200879894197,0.000561727792955935,0.0003849135246127844,0.0002988744236063212,0.0002804019022732973,0.0009331246255896986,0.00018057228589896113,0.00025835863198153675,0.00011334706505294889,0.0008146482286974788,0.0021991406101733446,0.0003748430754058063,0.0002548540651332587,5.95617457292974e-05,0.00016419484745711088,0.00012003991287201643,-0.00012808063183911145,8.718877506908029e-05,5.86591922910884e-05,0.00013006276276428252,-0.00023277160653378814,-4.32666129199788e-05,2.5851421014522202e-05,5.805438559036702e-05,6.604793452424929e-05,0.0005790332215838134,6.408822082448751e-05,-0.00027617046725936234,0.0004086779663339257,0.0004878068866673857,0.000701969547662884,0.0005590015789493918,0.00037440957385115325,0.0002942334394901991,0.0002864730195142329,0.0009410447673872113,0.000178945527295582,0.00025498640025034547,0.00010579310037428513,0.0008118211408145726,0.0021839181426912546,0.00036811549216508865,0.00021601843764074147,931.2181396484375,1142.1513671875,2040.061767578125,1410.1456298828125,1956.09912109375,1765.7955322265625,3446.302734375,1371.7822265625,939.58984375,726.0897216796875,1452.1817626953125,1334.220703125,1001.2022094726562,1274.083984375,1229.11767578125
2,0.00019643019186332822,0.00029855582397431135,0.00033623893978074193,-0.00011931649351026863,0.0002989020140375942,-5.3943957027513534e-05,2.432746441627387e-05,7.528177229687572e-05,-3.3803677069954574e-05,-0.00012901154696010053,8.994555537356064e-05,0.0004231516504660249,-0.0003805343294516206,-6.753577326890081e-05,-0.0004998234217055142,0.000765033473726362,0.0009124091593548656,0.0013731550425291061,0.0004649185575544834,0.0004829738463740796,0.0012627290561795235,0.0006938835140317678,0.0005675776046700776,0.0004491507716011256,0.0005518603720702231,0.00022219019592739642,0.0011339850025251508,0.000542851397767663,0.0008196383132599294,0.0005681187030859292,0.0001672986545599997,0.00028855743585154414,0.0003109157842118293,-0.0001178266538772732,0.0002862461260519922,-5.123141090734862e-05,2.406825660727918e-05,8.015301136765629e-05,-2.7177138690603897e-05,-0.00010947333794320002,7.893618749221787e-05,0.00041958619840443134,-0.0003782983694691211,-5.205507841310464e-05,-0.0004905908717773855,0.000777590845245868,0.0008798180497251451,0.0013517736224457622,0.0004616841033566743,0.0004848675453104079,0.0012603872455656528,0.0007120091468095779,0.0005493743228726089,0.00043807667680084705,0.0005513160140253603,0.00020489530288614333,0.0010954411700367928,0.0005224096239544451,0.000814631232060492,0.0005302540375851095,917.7012939453125,1112.00341796875,2028.6207275390625,1385.2388916015625,1921.467041015625,1744.6875,3381.04296875,1343.3353271484375,887.5767211914062,696.7593383789062,1436.84228515625,1335.3765869140625,984.42333984375,1211.5687255859375,1191.055908203125
3,0.0004926286055706441,0.000570367556065321,0.0006011423538438976,-0.00020398510969243944,0.0005570224020630121,-2.3990123736439273e-05,0.0002122087898897007,3.079896487179212e-05,0.00016672458150424063,0.00021915380784776062,9.5217845228035e-05,0.0005871818866580725,-0.0004563828988466412,0.0009973598644137383,-0.00039413865306414664,0.0011611487716436386,0.0018743679393082857,0.0022934647276997566,0.0006278884829953313,0.0009431965299881995,0.001797504024580121,0.0006737414514645934,0.000497090513817966,0.0008814305765554309,0.002240918343886733,0.00035674998071044683,0.0013804052723571658,0.000735213456209749,0.0018973477417603135,0.0005491056363098323,0.00044798789895139635,0.0005485238507390022,0.000576102698687464,-0.0001994099875446409,0.0005283051868900657,-1.7969645341509022e-05,0.00020828904234804213,3.257847492932342e-05,0.0001699077256489545,0.0002078599645756185,9.551002585794777e-05,0.0005646632052958012,-0.0004532405291683972,0.000997615046799183,-0.0003658717905636877,0.0011560979764908552,0.0018197166500613093,0.0022635029163211584,0.0006309501477517188,0.0009077228605747223,0.0018080819863826036,0.0006661689258180559,0.00048295248416252434,0.0008835847838781774,0.002243333961814642,0.0003417993139009923,0.0013789049116894603,0.000706823542714119,0.0018573134439066052,0.0004631943302229047,898.20361328125,1078.7266845703125,1996.9364013671875,1355.3487548828125,1870.74267578125,1716.797119140625,3306.368408203125,1321.0838623046875,821.5695190429688,714.513671875,1436.102294921875,1336.6453857421875,990.0538330078125,1172.5758056640625,1161.5606689453125
4,0.0004830415709875524,0.0003547535161487758,0.00027291319565847516,-2.1223599105724134e-05,0.000487468991195783,0.0008511434425599873,0.00038258967106230557,-9.049583604792133e-05,9.357917588204145e-05,-0.0005399517831392586,0.00016767885244917125,0.00018974594422616065,-0.0005472829798236489,0.0006075380370020866,-0.00018195435404777527,0.0010806492064148188,0.0017074504867196083,0.001397736486978829,0.0012226506369188428,0.0013896863674744964,0.0018768294248729944,0.000801076355855912,0.0004884623922407627,0.0004553374892566353,0.0005580287543125451,0.00043835246469825506,0.00345407472923398,0.0008113521616905928,0.0007885386003181338,0.00039063559961505234,0.0004251378122717142,0.00033652232377789915,0.000252218684181571,-3.2013773306971416e-05,0.00046617654152214527,0.0008512167260050774,0.0003718753287103027,-8.97180798347108e-05,0.00010437057790113613,-0.0005081918206997216,0.00015735861961729825,0.00016729133494663984,-0.0005513299256563187,0.0006197101902216673,-0.0001593829074408859,0.0010763946920633316,0.0016675656661391258,0.0013883953215554357,0.0011763452785089612,0.001392197678796947,0.0018605205696076155,0.0007868676329962909,0.0004780470044352114,0.00044226579484529793,0.0005510558839887381,0.0004290349315851927,0.003388473065569997,0.0007670111954212189,0.0007608730811625719,0.0002957782708108425,870.2747802734375,1054.9228515625,1995.348876953125,1327.181640625,1820.9130859375,1691.4281005859375,3204.01025390625,1301.462158203125,753.0984497070312,611.4322509765625,1430.44287109375,1289.2459716796875,1002.966552734375,1166.763916015625,1133.717529296875
5,0.00031159294303506613,0.00047669149353168905,0.0002026613656198606,0.00015835599333513528,0.0006421623984351754,0.0008064214489422739,0.00024099205620586872,-0.00018206916865892708,9.888127351587173e-06,-0.0006072856485843658,0.0005876101786270738,0.00014021931565366685,-0.0007290656794793904,-0.0006366765010170639,6.102682527853176e-05,0.0025787013582885265,0.0026795114390552044,0.0015271754236891866,0.001379268942400813,0.0010880903573706746,0.0008020676905289292,0.0006876347470097244,0.0005782289081253111,0.00041986064752563834,0.0007030676351860166,0.002726249862462282,0.0010741731384769082,0.0011101000709459186,0.002433620160445571,0.00017219450091943145,0.00023592330398969352,0.0004575932980515063,0.00016991152369882911,0.00014024671691004187,0.0005928283208049834,0.0007871360867284238,0.00024074455723166466,-0.00017494121857453138,1.671760401222855e-05,-0.0005615429254248738,0.0005639964947476983,0.00010366043716203421,-0.0007444188231602311,-0.0005999539280310273,6.787368329241872e-05,0.0025716631207615137,0.00262415106408298,0.0015008908230811357,0.00133220583666116,0.0010751992231234908,0.0007524552056565881,0.0006414455710910261,0.0005708097596652806,0.00041187350871041417,0.0007012439309619367,0.0027165845967829227,0.0010799155570566654,0.0010492237051948905,0.0023849939461797476,6.682919774902984e-05,878.2929077148438,1029.495361328125,1968.3013916015625,1296.8902587890625,1771.75,1653.54638671875,3118.072021484375,1285.2099609375,702.4315185546875,577.20556640625,1419.4693603515625,1294.4560546875,1016.052490234375,1153.4725341796875,1113.23291015625
6,0.00044218701077625155,0.0004057751502841711,8.650372183183208e-05,-0.00012979692837689072,0.0009272563038393855,0.0008323166985064745,0.0002910735784098506,-0.00023175142996478826,-7.720581197645515e-05,-0.0006423390586860478,-8.663006883580238e-05,0.00020200834842398763,-0.0015997502487152815,-0.00044795620488002896,0.00044652284123003483,0.001555262366309762,0.0023788444232195616,0.0016861491603776813,0.0008982773288153112,0.0013512058649212122,0.0010453695431351662,0.0007439610781148076,0.0005341933574527502,0.0005482225678861141,0.000778214365709573,0.0012431952636688948,0.0014542285352945328,0.003231794573366642,0.0019405125640332699,0.0002601897285785526,0.00034656707430258393,0.00037818029522895813,4.3184205424040556e-05,-0.00013619611854664981,0.0008765141246840358,0.0008089178008958697,0.0002853572659660131,-0.00022683036513626575,-5.4593921959167346e-05,-0.0006027790950611234,-9.921394666889682e-05,0.00018355879001319408,-0.0016562999226152897,-0.0004170579486526549,0.00043042650213465095,0.001518326811492443,0.00236257491633296,0.001643292373046279,0.0008901272667571902,0.0013136465568095446,0.0009867222979664803,0.0006801633280701935,0.000530577905010432,0.0005419497028924525,0.0007709746714681387,0.0012387859169393778,0.0014635989209637046,0.003216333221644163,0.0018772208131849766,0.0003462282184045762,819.056884765625,1034.3350830078125,1943.5194091796875,1281.6767578125,1729.124267578125,1622.3544921875,3033.419677734375,1266.9383544921875,669.2413940429688,551.7666015625,1402.330322265625,1261.4932861328125,1000.8864135742188,1153.66064453125,1094.3128662109375
7,0.0003967247321270406,0.00047205990995280445,-3.633946107584052e-05,-0.0003203439700882882,0.0006056019337847829,0.0001161899053840898,1.988046642509289e-05,-0.000100000761449337,0.000125905018649064,-0.0005885076243430376,9.435343963559717e-05,0.0009059682488441467,-0.000821090885438025,0.00021421120618470013,0.0009652674198150635,0.0016313062515109777,0.001792929950170219,0.001883129240013659,0.0012220037169754505,0.0013428058009594679,0.0032406148966401815,0.0009183296351693571,0.0007731404039077461,0.0007297895499505103,0.0009238351485691965,0.0010137869976460934,0.002628548536449671,0.001144319074228406,0.0008066302980296314,0.000859179301187396,0.00029669085051864386,0.00041198410326614976,-7.730671495664865e-05,-0.0003240457153879106,0.0005599012365564704,0.00012765757855959237,1.8690294382395223e-05,-0.0001000404154183343,0.00013871733972337097,-0.0005411640158854425,5.81277345190756e-05,0.0008957081008702517,-0.0008419273653998971,0.00020921781833749264,0.0009844506857916713,0.0016137680504471064,0.0017341478960588574,0.0018476902041584253,0.0012100351741537452,0.001314102322794497,0.0031817215494811535,0.0008552513318136334,0.0007385610369965434,0.0007294678362086415,0.0009059550357051194,0.00101053761318326,0.0026125158183276653,0.0010589201701804996,0.0007778576109558344,0.0009668213897384703,797.83056640625,1004.1822509765625,1872.7498779296875,1253.2164306640625,1668.92724609375,1614.443115234375,2921.042236328125,1240.0072021484375,649.0895385742188,535.4028930664062,1387.526611328125,1241.2164306640625,1093.408203125,1136.7860107421875,1079.219482421875
8,0.0004467668186407536,7.48137099435553e-05,-0.00014994792582001537,-0.00011493641068227589,0.0002718319301493466,0.0007513434393331409,7.532802555942908e-05,-0.00026738448650576174,4.677342076320201e-05,-0.0004438535834196955,0.0004224315343890339,0.000998727511614561,-0.0007111678132787347,0.00036411089240573347,0.00047820451436564326,0.002173911314457655,0.0028083559591323137,0.0018369097961112857,0.0015802064444869757,0.0020353321451693773,0.0015336339129135013,0.0009127463563345373,0.0007977368659339845,0.0006444156751967967,0.0010071956785395741,0.000979294185526669,0.002421469194814563,0.0016016887966543436,0.0012291372986510396,0.00010691124771256,0.0003416343533899635,1.6654987121000886e-05,-0.00018651816935744137,-0.00013766775373369455,0.00022027522209100425,0.0007365779601968825,5.6836965086404234e-05,-0.0002740650379564613,4.932891533826478e-05,-0.0003840505378320813,0.000391969399061054,0.0009995256550610065,-0.0007282894803211093,0.0003534799034241587,0.0004848119569942355,0.002138624433428049,0.0027568121440708637,0.0017954740906134248,0.0015504552284255624,0.002035361947491765,0.0014838442439213395,0.0008440000237897038,0.0007600900717079639,0.0006435147952288389,0.0010100635699927807,0.0009723100229166448,0.0024253898300230503,0.0015612143324688077,0.0012374136131256819,0.00026472038007341325,794.652587890625,999.8525390625,1814.7684326171875,1234.8509521484375,1635.128662109375,1516.03759765625,2810.868896484375,1223.7830810546875,644.0861206054688,525.6669921875,1364.7738037109375,1223.739501953125,1097.030029296875,1132.7125244140625,1093.699951171875
9,0.00035321954055689275,0.00022804223408456892,0.0003864523023366928,-0.00023753098503220826,1.4464720152318478e-05,0.0009409576305188239,-6.957334790058667e-06,-0.0003117778687737882,5.053112545283511e-05,-0.0005601714365184307,0.0003991819976363331,0.000736661721020937,-0.0008978035766631365,0.00016217271331697702,0.00022485498629976064,0.0024889037013053894,0.003009549342095852,0.0029446734115481377,0.001839361386373639,0.0025769176427274942,0.0013353228569030762,0.00126410904340446,0.001086914911866188,0.0007204649155028164,0.001085432362742722,0.0010110985022038221,0.0013763181632384658,0.0021204412914812565,0.0014263320481404662,0.00043498448212631047,0.00023121360572986305,0.00014527927851304412,0.00031472163391299546,-0.0002550118661019951,-3.2553623896092176e-05,0.0009114185231737792,-2.7992098694085144e-05,-0.00032189206103794277,4.183847704553045e-05,-0.0005042098928242922,0.0003714436024893075,0.0007462514331564307,-0.0009242043015547097,0.0001444957742933184,0.00020229803340043873,0.0024579563178122044,0.0029554814100265503,0.0028124742675572634,0.0017870875308290124,0.002571437042206526,0.0012732341419905424,0.001215235679410398,0.001053758431226015,0.0007097792695276439,0.0010282801231369376,0.0009991776896640658,0.0013881922932341695,0.0020657058339565992,0.0014054274652153254,0.00024053629022091627,788.4945068359375,985.47998046875,1795.681640625,1210.969970703125,1623.2125244140625,1484.7451171875,2732.8388671875,1208.104736328125,618.772705078125,520.25537109375,1369.5238037109375,1218.280029296875,1067.6689453125,1150.4796142578125,1106.716064453125
