dataset,subset,hyperparameters.target_epsilon,hyperparameters.learning_rate,hyperparameters.batch_size,hyperparameters.max_grad_norm,test_metrics.MulticlassAccuracy
cifar100,0.1,1.0,0.008175607011307302,1024,1.0,0.545699954032898
cifar100,0.1,2.0,0.008175607011307302,1024,1e-05,0.7247999906539917
cifar100,0.1,4.0,0.004675305633846492,1024,1e-05,0.8310999870300293
cifar100,0.1,8.0,0.008175607011307302,-1,1e-05,0.8776999711990356
dpdl-benchmark/cassava,1.0,1.0,0.008175607011307302,4096,0.1,0.7852996587753296
dpdl-benchmark/cassava,1.0,2.0,0.008175607011307302,-1,0.1,0.8200637102127075
dpdl-benchmark/cassava,1.0,4.0,0.004675305633846492,2048,0.0001,0.8484059572219849
dpdl-benchmark/cassava,1.0,8.0,0.008175607011307302,4096,0.001,0.8625074625015259
dpdl-benchmark/imagenet397,0.1,1.0,0.0008743393107950701,192,1.0,0.5441250205039978
dpdl-benchmark/imagenet397,0.1,2.0,0.0005,192,1.0,0.7061933279037476
dpdl-benchmark/imagenet397,0.1,4.0,0.0008743393107950701,192,0.01,0.7958822846412659
dpdl-benchmark/imagenet397,0.1,8.0,0.0005,192,1.0,0.8340681791305542
dpdl-benchmark/patch_camelyon,0.02,1.0,0.008175607011307302,1024,1e-05,0.8397735357284546
dpdl-benchmark/patch_camelyon,0.02,2.0,0.008175607011307302,1024,1e-05,0.854543149471283
dpdl-benchmark/patch_camelyon,0.02,4.0,0.002673622000133485,192,1e-05,0.8618308305740356
dpdl-benchmark/patch_camelyon,0.02,8.0,0.025,2048,1e-05,0.870746374130249
dpdl-benchmark/sun397,0.1,1.0,0.008175607011307302,2048,1.0,0.15121641755104065
dpdl-benchmark/sun397,0.1,2.0,0.008175607011307302,2048,1.0,0.27231255173683167
dpdl-benchmark/sun397,0.1,4.0,0.01429650919919554,-1,1.0,0.40185850858688354
dpdl-benchmark/sun397,0.1,8.0,0.004675305633846492,-1,1.0,0.5352243185043335
dpdl-benchmark/svhn_cropped,0.1,1.0,0.01429650919919554,1024,1e-05,0.630966067314148
dpdl-benchmark/svhn_cropped,0.1,2.0,0.025,2048,0.0001,0.7876896858215332
dpdl-benchmark/svhn_cropped,0.1,4.0,0.025,2048,1e-05,0.8458567261695862
dpdl-benchmark/svhn_cropped,0.1,8.0,0.008175607011307302,2048,1e-05,0.8803199529647827
dpdl-benchmark/svhn_cropped_balanced,0.1,1.0,0.008175607011307302,192,1e-05,0.6502999663352966
dpdl-benchmark/svhn_cropped_balanced,0.1,2.0,0.025,2048,0.0001,0.8295999765396118
dpdl-benchmark/svhn_cropped_balanced,0.1,4.0,0.01429650919919554,1024,1e-05,0.8903000354766846
dpdl-benchmark/svhn_cropped_balanced,0.1,8.0,0.01429650919919554,1024,1e-05,0.9208999872207642
